inventoryId,partNumber,color,quantity
160146,11090,4,8
160146,11213,322,2
160146,14210,4,1
160146,15254,15,2
160146,15712,14,4
160146,18653,15,4
160146,23986,378,1
160146,24866,191,2
160146,25375,297,4
160146,25376,4,2
160146,29685pr0001,15,2
160146,3003,14,4
160146,30176,2,4
160146,3020,72,2
160146,3022,0,4
160146,3031,4,1
160146,3069bpr0100,2,2
160146,3069bpr0168,70,2
160146,32474,25,2
160146,32607,2,2
160146,32607,297,8
160146,32932,297,4
160146,33048,484,1
160146,36017,297,4
160146,37762,10,6
160146,39262,15,2
160146,4032a,27,2
160146,4079b,288,2
160146,42876,484,2
160146,4740,19,4
160146,51270,4,4
160146,59900,10,3
160146,6141,71,4
160146,62462,4,2
160146,68495pat0001,47,2
160146,70681,25,4
160146,73682,0,4
160146,79735,28,1
160146,90541,30,2
160146,93059,19,2
160146,98138pr0018,84,2
160146,99563,82,4
160209,2496,0,2
160209,3899,14,1
160209,42511,25,1
160232,51493c02,4,1
160317,101347c01pr0176,379,1
160317,2632,19,1
160317,92198pr0337,92,1
160317,92456c03pr0475,92,1
160318,11408c06pr0149,70,1
160318,2268c01pr0012,4,1
160318,2646,0,1
160318,92198pr0355,70,1
160322,11408c07pr0151,1089,1
160322,16925c01pr0177,379,1
160322,2631,226,1
160322,92198pr0358,1089,1
160323,11408c02pr0149,84,1
160323,2268c01pr0013,3,1
160323,40938,70,1
160323,92198pr0335,84,1
160327,11408c06pr0148,70,1
160327,2268c01pr0015,321,1
160327,2646,0,1
160327,92198pr0349,70,1
160328,2633,0,1
160328,36198c01pr0014,27,1
160328,92198pr0010,1089,1
160328,92456c06pr0484,1089,1
160329,2246c01pr0002,5,1
160329,85974,70,1
160329,92198pr0369,1089,1
160329,92456c06pr0485,1089,1
160331,101117c01pr0022,379,1
160331,2645,320,1
160331,92198pr0346,78,1
160331,92456c01pr0482,78,1
160332,11408c07pr0148,1089,1
160332,16925c01pr0175,71,1
160332,2631,226,1
160332,92198pr0358,1089,1
160335,2241c01pr0025,321,1
160335,23187,5,1
160335,92198pr0354,92,1
160335,92456c03pr0483,92,1
160339,11408c07pr0145,1089,1
160339,16925c01pr0175,71,1
160339,2631,226,1
160339,92198pr0358,1089,1
160340,101117c01pr0022,379,1
160340,1685,484,1
160340,92198pr0367,1088,1
160340,92456c16pr0494,1088,1
160342,101347c01pr0171,379,1
160342,2632,19,1
160342,92198pr0337,92,1
160342,92456c03pr0470,92,1
160344,16925c01pr0138,71,1
160344,23186,0,1
160344,28649pr0342,92,1
160344,92815c07pr0126,92,1
160348,101117c01pr0012,212,1
160348,2644,308,1
160348,92198pr0338,1088,1
160348,92456c16pr0479,1088,1
160349,2277c01pr0025,29,1
160349,2645,320,1
160349,92198pr0346,78,1
160349,92456c01pr0480,78,1
160355,2633,0,1
160355,36198c01pr0016,212,1
160355,92198pr0010,1089,1
160355,92456c06pr0477,1089,1
160356,100811c01pr0478,78,1
160356,2640,484,1
160356,36198c01pr0013,379,1
160356,92198pr0336,78,1
160359,69969pr0028,1089,1
160359,87990,0,1
160359,92198pr0344,1089,1
160360,2241c01pr0021,73,1
160360,2644,308,1
160360,92198pr0338,1088,1
160360,92456c16pr0487,1088,1
160364,101117c01pr0024,323,1
160364,2645,320,1
160364,92198pr0346,78,1
160364,92456c01pr0482,78,1
160367,2633,0,1
160367,36198c01pr0015,191,1
160367,92198pr0010,1089,1
160367,92456c06pr0469,1089,1
160369,11408c02pr0153,84,1
160369,2268c01pr0013,1050,1
160369,40938,70,1
160369,92198pr0335,84,1
160370,101347c01pr0171,379,1
160370,2632,19,1
160370,92198pr0337,92,1
160370,92456c03pr0466,92,1
160371,2241c01pr0182,158,1
160371,85974,226,1
160371,92198pr0339,78,1
160371,92456c01pr0468,78,1
160377,69969pr0031,1089,1
160377,87990,0,1
160377,92198pr0344,1089,1
160378,59794c01pr0258,4,1
160378,79989pat0003,320,1
160378,92198pr0364,78,1
160378,92456c01pr0526,78,1
160380,65224pr0015,1089,1
160380,92198pr0365,1089,1
160380,99930,0,1
160381,101347c01pr0179,321,1
160381,2633,0,1
160381,92198pr0010,1089,1
160381,92456c06pr0491,1089,1
160382,16925c01pr0009,272,1
160382,28424pr0001,70,1
160382,92198pr0363,92,1
160382,92456c03pr0492,92,1
160383,59794c01pr0259,272,1
160383,88286,84,1
160383,92198pr0368,1089,1
160383,92456c06pr0495,1089,1
160384,16925c01pr0013,321,1
160384,2645,0,1
160384,92198pr0366,70,1
160384,92456c15pr0493,70,1
160385,2241c01pr0018,1050,1
160385,90396,0,1
160385,92198pr0362,84,1
160385,92456c02pr0490,84,1
160386,11408c07pr0147,1089,1
160386,2268c01pr0008,288,1
160386,38800,0,1
160386,92198pr0352,1089,1
160387,59794c01pr0257,26,1
160387,69857,0,1
160387,92198pr0356,92,1
160387,92816c05pr0123,92,1
160389,100811c01pr0476,78,1
160389,2640,484,1
160389,36198c01pr0009,378,1
160389,92198pr0336,78,1
160390,2241c01pr0039,14,1
160390,2644,308,1
160390,92198pr0338,1088,1
160390,92456c16pr0507,1088,1
160392,16925c01pr0178,272,1
160392,88286,4,1
160392,92198pr0359,78,1
160392,92816c01pr0124,78,1
160393,11408c02pr0167,84,1
160393,2268c01pr0006,14,1
160393,40938,70,1
160393,92198pr0335,84,1
160394,100811c01pr0486,78,1
160394,2640,484,1
160394,36198c01pr0009,378,1
160394,92198pr0336,78,1
160396,2241c01pr0039,272,1
160396,2644,308,1
160396,92198pr0338,1088,1
160396,92456c16pr0489,1088,1
160398,11408c02pr0142,84,1
160398,2268c01pr0013,1050,1
160398,40938,70,1
160398,92198pr0335,84,1
160400,2241c01pr0040,191,1
160400,83345,0,1
160400,92198pr0357,84,1
160400,92456c17pr0488,84,1
160401,16925c01pr0138,272,1
160401,28649pr0361,92,1
