inventoryId,partNumber,color,quantity
100019,25269,0,2
100019,30192,72,1
100019,44709,0,1
100019,4740,52,1
100019,59900,0,1
100019,61252,0,1
100019,85861,0,2
100019,98721,0,1
100237,11833,71,1
100237,14181,191,2
100237,14769pr1185,321,2
100237,15573,321,4
100237,18674,14,1
100237,22885,4,2
100237,26603,4,1
100237,3002,0,1
100237,3003,4,2
100237,30157,72,1
100237,3020,2,1
100237,3021,0,1
100237,30237b,15,2
100237,3062b,321,1
100237,3069b,4,2
100237,3176,4,2
100237,33243,4,1
100237,3623,321,2
100237,3710,320,1
100237,3941,47,1
100237,3957b,71,1
100237,4006,72,1
100237,41682,15,1
100237,42610,71,2
100237,4495b,2,1
100237,4599b,0,1
100237,4865b,41,1
100237,49153,4,1
100237,50951,0,2
100237,6091,4,6
100237,61072,179,1
100237,65138,4,1
100237,65186,320,1
100237,74169,0,1
100237,85984,321,1
100237,87580,71,1
100237,90194,4,1
100237,92842,0,1
100238,10314,4,1
100238,11476,71,1
100238,11477,1,2
100238,15068,72,1
100238,15068,4,4
100238,15207,4,2
100238,15535,4,1
100238,15573,71,3
100238,15626pr0011,4,1
100238,16091,71,1
100238,18646,14,2
100238,22885,71,1
100238,22888,27,1
100238,2412b,72,1
100238,2431pr0168,4,1
100238,2432,4,1
100238,2456,1,1
100238,2540,1,1
100238,26603,4,2
100238,2817,4,1
100238,28802,71,2
100238,3001,1,2
100238,3004,14,6
100238,30076,0,1
100238,30162,72,1
100238,3020,14,2
100238,3021,0,1
100238,3022,1,4
100238,3022,14,1
100238,30237b,0,2
100238,3039,72,2
100238,30602,33,2
100238,3062b,41,1
100238,3069b,33,2
100238,3069b,14,3
100238,3069b,15,1
100238,33078,4,2
100238,33243,4,4
100238,34816,15,2
100238,35299,1,2
100238,35700,191,1
100238,3659,4,3
100238,3666,14,2
100238,3666,1,3
100238,3708,0,1
100238,3709,1,1
100238,37352,1,2
100238,3795,14,1
100238,3829c01,1,1
100238,3899,4,1
100238,3942c,10,1
100238,3957b,0,1
100238,3958,71,2
100238,3960,191,1
100238,3963,71,1
100238,4079b,15,2
100238,4349,0,1
100238,43888,4,2
