inventoryId,partNumber,color,quantity
200004,27955pat0002,4,1
200004,3626cpr1771,14,1
200004,970c10,320,1
200004,973c46h01pr6841,3,1
200005,21269,15,1
200005,3626cpr3560,14,1
200005,970c12,72,1
200005,973c14h01pr6850,71,1
200006,13251,308,1
200006,3626cpr3063,14,1
200006,970c03,0,1
200006,973c03h27pr6564,0,1
200007,12895,272,1
200007,3626cpr3667,14,1
200007,970c05,272,1
200007,973c05h01pr6840,272,1
200008,2590,0,1
200008,26066,15,1
200008,36036pr0050,0,1
200008,3626cpr3602,14,1
200008,973c01h01pr6418,0,1
200009,12895pr0046,272,1
200009,28621pr4031,14,1
200009,970c05,272,1
200009,973c05h01pr6249,272,1
200010,12895,272,1
200010,3626cpr0933,14,1
200010,970c28,1,1
200010,973c27h01pr4202,15,1
200011,2514,70,1
200011,3626cpr3739,14,1
200011,970c23pat19,84,1
200011,973c19h01pr6851,70,1
200012,3626cpr3560,14,1
200012,3878,0,1
200012,970c05,272,1
200012,973c05h01pr6249,272,1
200013,25376,4,1
200013,3277,308,1
200013,3626cpr3067,14,1
200013,970c05,272,1
200013,973c23h01pr3427,84,1
200014,25376,4,1
200014,3626cpr9649,14,1
200014,87990,484,1
200014,970c46,3,1
200014,973c29h01pr5955,212,1
200053,11211,72,8
200053,11477,4,16
200053,15469,288,4
200053,15535,15,4
200053,15712,0,4
200053,15712,288,16
200053,15712,4,32
200053,1686,4,24
200053,18654,27,4
200053,19119,288,12
200053,24201,70,16
200053,2423,378,8
200053,24866,15,72
200053,27262,288,8
200053,29119,288,8
200053,29120,288,8
200053,3003,27,4
200053,3022,320,16
200053,30377,0,8
200053,32016,288,12
200053,32062,4,108
200053,32073,71,4
200053,32123b,5,8
200053,32803,288,8
200053,35480,0,16
200053,35480,320,32
200053,35787,288,8
200053,3706,0,4
200053,3941,4,12
200053,39613,5,1
200053,4032a,288,16
200053,42195,288,108
200053,4304,4,16
200053,4519,14,4
200053,47456,4,8
200053,48336,4,8
200053,49097,4,32
200053,53451,320,8
200053,59900,26,4
200053,60470b,2,8
200053,61252,0,32
200053,61975,4,4
200053,63965,378,16
200053,66909,378,16
200053,68888,70,4
200053,75937,0,8
200053,79897,4,8
200053,85834,4,16
200053,85861,70,8
200053,90202,0,4
200053,90258,72,4
200053,96874,3,1
200053,98284,378,4
200130,11213,19,1
200130,11213,27,1
200130,14716,71,2
200130,14716,15,2
200130,14716,191,2
200130,14716,84,2
200130,14769,15,2
200130,15573,322,2
200130,15573,191,2
200130,15573,29,2
200130,15573,27,2
200130,15672,191,4
200130,1748,0,2
200130,3001,27,2
200130,3001,84,2
200130,3001,15,2
200130,3001,29,2
200130,3001,191,2
200130,3001,71,2
200130,3001,31,2
200130,3001,322,2
200130,3003,71,4
200130,3003,15,4
200130,3003,29,2
200130,3003,84,4
200130,3003,191,4
200130,3003,27,2
200130,3003,322,2
200130,3003,31,2
200130,3004,15,4
200130,3004,84,4
200130,3004,71,4
200130,3004,29,4
200130,3004,322,4
200130,3004,31,4
200130,3004,27,4
200130,3004,191,4
200130,3004,0,4
200130,3005,191,4
200130,3005,15,4
200130,3005,84,4
200130,3005,71,4
200130,3010,71,2
200130,3010,84,2
200130,3010,191,2
200130,3010,15,2
200130,3020,15,2
200130,3020,84,2
200130,3020,191,2
200130,3020,71,2
200130,3021,25,2
200130,3022,322,2
200130,3022,27,2
200130,3022,29,2
200130,3022,191,2
200130,3023,15,4
200130,3034,191,1
200130,3034,71,1
200130,3034,15,1
200130,3034,84,1
200130,3039,84,4
200130,3039,191,2
200130,3039,15,2
200130,3039,71,2
200130,3040b,29,2
200130,3040b,322,2
200130,3040b,10,2
200130,3040b,0,2
200130,3040b,25,2
200130,3062b,15,2
200130,3062b,25,2
200130,3062b,27,2
200130,32606,5,6
200130,32607,10,8
200130,3262,19,1
200130,3262,26,1
200130,3262,27,1
200130,3262,4,1
200130,3659,84,2
200130,37352,191,2
200130,37352,84,2
200130,37352,71,2
200130,37352,15,2
200130,37352pr0030,71,2
200130,37352pr0030,84,2
200130,37352pr0033,15,2
200130,37352pr0033,71,2
200130,37352pr0033,84,2
200130,37352pr0033,191,2
200130,37352pr0034,15,2
200130,37352pr0034,191,2
200130,37352pr0037,15,2
200130,37352pr0037,191,2
200130,3795,70,1
200130,3852b,29,1
200130,3852b,322,1
200130,4727,10,2
200130,47905,19,4
200130,49307,84,6
200130,49307,191,6
200130,49307,71,6
200130,49307,15,16
200130,49307,0,6
200130,5174,71,1
200130,5174,84,1
200130,5174,191,1
200130,5174,15,2
200130,5174pr0001,71,1
200130,5174pr0001,84,1
200130,5174pr0002,191,1
200130,5174pr0004,15,1
200130,5174pr0005,191,1
200130,5175,15,3
200130,53119,70,4
200130,53451,25,2
200130,53451,0,2
200130,53451,15,2
200130,54200,29,4
200130,54200,27,4
200130,54200,0,6
200130,54200,71,6
200130,54200,322,4
200130,54200,25,6
200130,54200,15,6
200130,6005,10,2
200130,6005,1,2
200130,6005,5,2
200130,60474,191,1
200130,60474,26,1
200130,60474,322,1
200130,6091,0,2
200130,6141,19,8
200130,6141,71,8
200130,6141,25,8
200130,6141,15,8
200130,6141,0,8
200130,6215,191,2
200130,6254,15,2
200130,65617,25,2
200130,80497,0,1
200130,80497,25,1
200130,80497,84,1
200130,80497,71,1
200130,85080,27,4
200130,85080,322,4
200130,85984,10,4
200130,85984,1,4
200130,85984,5,4
200130,86876,71,2
200130,86876,15,2
200130,86876,84,2
200130,86876,191,2
200130,87087,71,4
200130,87087,191,4
200130,87087,15,4
200130,87087,84,4
200130,87580,10,2
200130,87580,19,2
200130,92947,19,4
200130,93273pr0023,15,3
200131,15254,31,4
200131,20309,15,2
200131,23969,41,4
200131,2456,85,2
200131,24866,14,8
200131,24866,191,8
200131,24866,323,8
200131,24866,1050,8
200131,24866,226,8
200131,24866,4,8
200131,24866,15,8
200131,24866,2,8
200131,24866,31,8
200131,3001,288,6
200131,3001,14,6
200131,3001,31,6
200131,3001,272,6
200131,3001,4,12
200131,3001,70,6
200131,3001,322,6
200131,3001,1050,6
200131,3001,226,6
200131,3001,85,6
200131,3001,191,6
200131,3001,2,6
200131,3001,323,12
200131,3002,15,6
200131,3003,288,12
200131,3003,70,12
200131,3003,31,12
200131,3003,226,16
200131,3003,272,12
200131,3003,14,12
200131,3003,4,12
200131,3003,322,12
200131,3003,2,12
200131,3003,85,12
200131,3003,1050,12
200131,3003,323,12
200131,3003,191,12
200131,3004,191,8
200131,3004,1050,12
200131,3004,4,8
200131,3004,323,12
200131,3004,14,8
200131,3004,158,12
200131,3004,31,12
200131,3004,226,8
200131,3008,226,2
200131,30165,14,2
200131,3021,2,6
200131,3022,15,2
200131,3022,2,6
200131,3023,31,2
200131,3032,71,4
200131,3034,15,4
200131,3035,71,4
200131,3036,71,2
200131,3039,85,6
200131,3039,272,18
200131,3039,70,12
200131,3039,288,12
200131,3039,31,6
200131,3039,322,12
200131,3043,272,4
200131,3062b,272,6
200131,3062b,85,6
200131,3062b,322,6
200131,3062b,70,6
200131,3062b,2,6
200131,3062b,14,6
200131,3062b,4,6
200131,3062b,15,6
200131,3062b,31,6
200131,3062b,288,6
200131,3062b,323,6
200131,32028,14,2
200131,3300,4,4
200131,33303,15,2
200131,3622,322,12
200131,3659,226,2
200131,3666,15,2
200131,3678b,4,6
200131,37352,15,4
200131,37352,70,4
200131,37352,85,4
200131,37352,191,4
