inventoryId,partNumber,color,quantity
20003,63965,70,2
20003,88646,0,1
20003,98130pr0003,0,1
20008,2412a,0,1
20008,2420,4,1
20008,2466pr0002,42,1
20008,2569,42,1
20008,3023,4,1
20008,3039pr0010,0,1
20008,3069bpr0048,15,1
20008,3839b,4,1
20008,3937,4,2
20008,3938,0,2
20008,3962b,0,1
20008,4081b,4,2
20008,4085c,4,1
20008,4288,0,4
20008,4589,42,4
20008,4590,0,1
20008,4600,0,2
20008,4624,7,4
20008,4732,4,1
20008,4740,42,2
20013,2357,14,2
20013,2412b,71,10
20013,2412b,72,8
20013,2412b,14,5
20013,2420,14,2
20013,2431,2,5
20013,2431,71,2
20013,2431,72,3
20013,2431,14,2
20013,2432,14,1
20013,2436,71,1
20013,2453a,72,3
20013,2456,14,3
20013,2465,72,2
20013,2540,72,1
20013,2555,72,4
20013,2584,0,1
20013,2585,71,1
20013,2637,71,2
20013,2639,72,2
20013,2654,0,3
20013,2730,71,2
20013,2744,0,1
20013,2780,0,17
20013,2817,0,1
20013,2877,2,4
20013,2905,71,2
20013,2926,0,5
20013,2972,72,1
20013,298c02,71,1
20013,3001,14,4
20013,3001,71,2
20013,3001,0,2
20013,3002,14,2
20013,30027b,71,6
20013,30028,0,6
20013,3003,14,4
20013,3003,72,1
20013,3004,1,4
20013,3004,14,1
20013,3004,72,16
20013,30043,71,1
20013,3005,72,15
20013,3005,4,2
20013,3005,14,2
20013,3006,71,2
20013,3007,0,3
20013,3008,0,1
20013,3008,72,7
20013,3009,2,4
20013,3009,4,1
20013,3010,72,12
20013,3010,2,3
20013,3010,14,6
20013,30157,71,2
20013,30179,15,1
20013,3020,14,6
20013,3020,15,1
20013,3020,2,1
20013,3020,72,3
20013,3021,2,2
20013,3021,71,4
20013,3022,2,1
20013,3022,71,1
20013,3022,72,3
20013,3023,0,4
20013,3023,182,6
20013,3023,4,10
20013,3023,14,3
20013,3023,2,10
20013,30236,71,4
20013,3024,36,2
20013,3024,46,2
20013,3024,182,2
20013,3027,72,2
20013,30296,15,1
20013,3031,14,1
20013,3032,72,1
20013,3032,15,2
20013,3034,14,1
20013,3035,72,8
20013,3036,72,2
20013,3037,4,8
20013,30374,71,2
20013,30386,14,2
20013,30387,14,2
20013,30389c,0,1
20013,3039,4,6
20013,3039,71,1
20013,3039,14,4
20013,30394,14,1
20013,30395,72,1
20013,3040bpr0003,71,2
20013,3041,4,2
20013,30414,14,4
20013,30414,72,4
20013,3043,4,2
20013,3048c,4,2
20013,30586,71,4
20013,30592,71,1
20013,3062b,36,4
20013,3062b,14,4
20013,3065,40,1
20013,3068b,14,1
20013,3068b,15,1
20013,3068b,72,2
20013,3068b,0,1
20013,3069b,4,20
20013,3069b,36,9
20013,3069b,15,1
20013,3069bpr0090,72,2
20013,3070bpr0007,71,2
20013,3176,14,4
20013,32000,72,4
20013,32002,72,4
20013,32013,14,6
20013,32028,71,2
20013,32028,0,2
20013,32054,4,2
20013,32064b,72,6
20013,32064b,14,2
20013,32449,72,1
20013,32530,72,2
20013,32556,19,3
20013,33299a,71,1
20013,3460,15,1
20013,3460,14,2
20013,3460,72,3
20013,3622,72,8
20013,3623,72,2
20013,3660,14,4
20013,3660,2,2
20013,3660,72,8
20013,3665,72,8
20013,3665,2,2
20013,3666,2,4
20013,3666,14,5
20013,3666,15,3
20013,3673,71,8
20013,3700,14,2
20013,3700,71,1
20013,3701,1,1
20013,3703,71,2
20013,3705,0,4
20013,3707,0,4
20013,3708,0,2
20013,3709,0,1
20013,3710,2,6
20013,3710,14,3
20013,3738,72,11
20013,3747b,72,3
20013,3794b,15,4
20013,3794b,0,3
20013,3795,14,1
20013,3795,2,1
20013,3795,72,9
20013,3823,40,2
20013,3829c01,14,1
20013,3829c01,1,1
20013,3837,0,1
20013,3839b,71,2
20013,3865,72,1
20013,3894,1,2
20013,3894,14,1
20013,3894,71,2
20013,3895,14,2
20013,3899,4,1
20013,3941,71,6
20013,3958,15,1
20013,3962b,0,2
20013,4006,0,1
20013,4032a,14,2
20013,4070,71,2
20013,4070,14,4
20013,4070,4,2
20013,4079,1,2
20013,4085c,0,4
20013,4085c,14,2
20013,41539,72,1
20013,4162,72,13
20013,4176,40,1
20013,42610,71,6
20013,4274,1,2
20013,4282,71,1
20013,4286,14,2
20013,4287b,15,2
20013,43903,0,2
20013,44294,71,1
