inventoryId,partNumber,color,quantity
90014,45205,4,1
90014,45209,4,1
90014,45210pr0002,15,1
90014,45211pr0001,15,1
90014,45215,15,1
90014,45219c02,4,1
90016,45205,25,1
90016,45209,25,1
90016,45210pr0004,8,1
90016,45211pr0004,7,1
90016,45217,25,1
90016,45219c03,25,1
90017,45205,1,1
90017,45210pr0003,15,1
90017,45211pr0002,15,1
90017,45212c01,15,1
90017,45219c01,1,1
90020,45205,14,2
90020,45209,7,1
90020,45210pr0001,14,1
90020,45211pr0003,7,1
90020,45216,14,1
90020,45218pr0001,14,1
90020,45219c04,14,1
90020,45746,14,1
90022,3001a,4,11
90022,3001a,47,1
90022,3001a,15,26
90022,3002a,4,2
90022,3003a,15,7
90022,3003a,14,2
90022,3003a,0,1
90022,3004,15,14
90022,3004,4,6
90022,3005,4,8
90022,3005,15,11
90022,3007,14,1
90022,3007,15,2
90022,453bc01,4,2
90023,31000,10,3
90023,31000,4,1
90023,31000pr0009,14,3
90023,31000pr0010,1,2
90023,31000pr0010,14,2
90023,31000pr0011,4,3
90023,31000pr0012,10,3
90023,31000pr0028,4,2
90023,31004pr0001,10,1
90023,31005pr0001,4,1
90023,31005pr0002,14,1
90023,31005pr0004,4,1
90023,31005pr0006,2,1
90023,31005pr0007,1,1
90023,31011c01,4,1
90023,31012,14,1
90023,31135,115,1
90023,31136,10,1
90023,31137,1,1
90023,31155c02,1,1
90023,31605c02,10,1
90023,31605c02,73,2
90023,31639c01pr0002,73,1
90023,41021,73,1
90023,44589,1,3
90023,44591,4,2
90023,44592,14,3
90023,44657,112,1
90023,75595c02pr0002,2,2
90023,76080c01pr0001,4,2
90023,76081pr0005,27,1
90023,76081pr0006,15,1
90033,31000,1,12
90033,31000,10,13
90033,31000,4,13
90033,31000,14,12
90033,31000pr0013,14,1
90033,31000pr0014,14,1
90033,31000pr0015,4,1
90033,31000pr0016,4,1
90033,31000pr0017,25,1
90033,31000pr0018,27,1
90033,31000pr0019,27,1
90033,31000pr0020,232,1
90033,31000pr0021,25,1
90033,31001,4,5
90033,31001,1,5
90033,31001,10,5
90033,31012,14,4
90033,31155c01,10,2
90033,31605c02,232,2
90033,31605c02,27,2
90033,31639c01pr0001,232,1
90033,44591,115,6
90033,76081pr0003,4,1
90033,76081pr0004,2,1
90033,76081pr0008,232,2
90034,31000pr0013,232,1
90034,31005pr0003,4,1
90040,31000pr0014,14,1
90040,31000pr0016,4,1
90040,31000pr0018,27,1
90040,31000pr0020,232,1
90040,31000pr0021,25,1
90040,49814pr0001,18,1
90040,49845pr0001,14,1
90041,31000pr0013,14,1
90041,31000pr0015,4,1
90041,31000pr0017,25,1
90041,31000pr0019,27,1
90041,49265c01,232,1
90041,49836c01,2,1
90041,49841pr0001,4,1
90041,49843pr0001,25,1
90043,31000,14,6
90043,31000,4,6
90043,31000,2,8
90043,31000,1,8
90043,31000pr0001,14,1
90043,31001,4,1
90043,31001,14,1
90043,31001,2,1
90043,31001,1,1
90043,31005pr0008,14,1
90043,31605c01,2,1
