inventoryId,partNumber,color,quantity
170072,15573,14,1
170072,15573,15,1
170072,22885,15,4
170072,24246,179,2
170072,25269,71,6
170072,25269,25,1
170072,25269,14,6
170072,25269,29,1
170072,25269,15,6
170072,3001,27,1
170072,3001,30,2
170072,3001,29,2
170072,3003,14,1
170072,3008,3,2
170072,3020,15,1
170072,3023,71,5
170072,3023,14,1
170072,3039,31,2
170072,3039,14,2
170072,3070b,14,8
170072,3070b,71,10
170072,3660,27,2
170072,3678b,15,2
170072,3747b,14,2
170072,3958,212,2
170072,98138pr0107,0,4
170124,23186,70,1
170124,3626cpr1966,14,1
170124,970c03,0,1
170124,973c32h01pr2998,25,1
170125,28974,70,1
170125,3626cpr0677,14,1
170125,41879a,0,1
170125,87991,484,1
170125,973c26h01pr4023,19,1
170126,2524,70,1
170126,3626cpr2463,14,1
170126,61506,19,1
170126,970c19,70,1
170126,973c26h01pr4354,19,1
170127,11303,272,1
170127,3626cpr2463,14,1
170127,970c05,272,1
170127,973c04h01pr4059,28,1
170128,25378,0,1
170128,3626cpr1675,14,1
170128,970c03,0,1
170128,973c32h01pr2998,25,1
170129,26066,19,1
170129,3626cpr1663,14,1
170129,90541,72,1
170129,970c07,308,1
170129,973c35h01pr5038,288,1
170130,3626cpr1771,14,1
170130,59363,70,1
170130,970c05,272,1
170130,973c10h01pr4289,320,1
170131,3624,320,1
170131,3626cpr2522,14,1
170131,970c03,0,1
170131,973c27h01pr4203,0,1
170132,3626cpr1614,14,1
170132,92746,484,1
170132,970c42,322,1
170132,973c33h01pr3424,30,1
170133,3626cpr1614,14,1
170133,970c27,15,1
170133,973c29h01pr3688,212,1
170133,99930,0,1
170135,11303,1,1
170135,3626cpr2399,14,1
170135,970c28,1,1
170135,973c27h01pr9999,15,1
170146,2527,6,2
170146,3062b,0,12
170146,4600,0,4
170146,4624,7,8
170146,518,8,2
170220,upn0261,0,1
170388,upn0473,9999,1
170388,upn0474,9999,1
170390,3011,14,10
170390,3011,1,10
170390,3011,2,10
170390,3011,4,10
170390,3437,2,12
170390,3437,1,12
170390,3437,4,12
170390,3437,14,12
170390,4199,14,1
170390,4199,2,1
170390,4199,4,1
170390,4199,1,1
170441,15068,70,2
170441,15712,297,2
170441,2540,297,2
170441,28802,0,2
170441,3023,322,2
170441,3034,70,1
170441,32034,70,2
170441,32062,4,3
170441,32828,19,8
170441,36017,297,2
170441,3710,0,2
170441,3941,19,1
170441,45677,15,1
170441,50950,308,4
170441,54200,308,4
170441,60470b,15,1
170441,67329,0,2
170441,85984,0,2
170441,98138,4,2
170441,98138,15,2
170441,99021,308,1
170446,3626cpr0001,14,1
170446,37364c28,1,1
170446,3844,179,1
