inventoryId,partNumber,color,quantity
60007,3626bpr0304,14,1
60007,71015,334,1
60007,970c28,0,1
60007,973c27h01pr0012,4,1
60009,3626bpr0304,14,1
60009,71015,334,1
60009,87692,15,1
60009,970c27,0,1
60009,973c27h01pr0012,4,1
60011,3626bpr0304,14,1
60011,71015,334,1
60011,87692,15,1
60011,970c28,1,1
60011,973c27h01pr0012,4,1
60011,upn0243pr0001,15,1
60018,2446,4,1
60018,2594,0,1
60018,3626bpr9954,14,1
60018,87694,4,1
60018,970c03,4,1
60018,973c03h22pr0001,4,1
60021,3626bpr0001,14,1
60021,3896,0,1
60021,970c22,0,1
60021,973c28h01pr0003,15,1
60022,3626bpr0001,14,1
60022,3896,0,1
60022,4498,6,1
60022,970c22,0,1
60022,973c28h01pr0003,15,1
60023,3626bpr0018,14,1
60023,3844,0,1
60023,970c28,0,1
60023,973c27h01pr0010,4,1
60036,3626bpr9983,14,1
60036,6122,0,1
60036,87692,4,1
60036,970c08,0,1
60036,973c03h01pr0090,0,1
60039,3626bpr9983,14,1
60039,6122,0,1
60039,87694,4,1
60039,970c08,0,1
60039,973c03h01pr0090,0,1
60041,3626bpr9953,14,1
60041,3896,0,1
60041,970c08,0,1
60041,973c22h01pr0066,7,1
60045,3626bpr9953,14,1
60045,3844,0,1
60045,970c08,0,1
60045,973c22h01pr0066,7,1
60048,3626bpr0010,14,1
60048,3844,0,1
60048,970c22,4,1
60048,973c08h01pr0045,8,1
60050,3626bpr0324,14,1
60050,3678apr0001,0,1
60050,6131,0,1
60050,71345pr0002,4,1
60050,973c03h01pr0035,0,1
60062,3626bpr0216,14,1
60062,4485,1,1
60062,970c14,71,1
60062,973c03h01,0,1
60063,3626bpr0262,14,1
60063,4485,4,1
60063,970c14,71,1
60063,973c03h01,0,1
60064,3626bpr0270,14,1
60064,4485,4,1
60064,970c27,15,1
60064,973c27h01,1,1
60065,3626bpr0019,14,1
60065,6093,70,1
60065,970c24,379,1
60065,973c22h01,4,1
60066,3626bpr0252,14,1
60066,4530,0,1
60066,970c27,15,1
60066,973c22h01,4,1
60067,30608,0,1
60067,3626bpr0348,14,1
60067,970c27,15,1
60067,973c22h01,4,1
60068,30608,0,1
60068,3626bpr0389,14,1
60068,970c27,15,1
60068,973c22h01,4,1
60069,30608,70,1
60069,3626bpr0387,14,1
60069,970c27,15,1
60069,973c22h01,4,1
60070,3626bpr0325,14,1
60070,3901,70,1
60070,970c27,15,1
60070,973c22h01,4,1
60071,3626bpr0389,14,1
60071,4530,0,1
60071,970c03,0,1
60071,973c27h01,15,1
60072,3626bpr0411,14,1
60072,3901,0,1
60072,970c03,0,1
60072,973c27h01,15,1
60073,3626bpr0348,14,1
60073,3901,0,1
60073,970c03,0,1
60073,973c27h01,15,1
60074,30608,70,1
60074,3626bpr0136,14,1
60074,970c03,0,1
60074,973c27h01,15,1
60075,3626bpr0250,14,1
60075,3901,70,1
60075,970c03,0,1
60075,973c27h01,15,1
60077,3626bpr0042,14,1
60077,4485,4,1
60077,970c28,1,1
60077,973c01h01,0,1
60078,3626bpr0001,14,1
60078,3901,6,1
60078,970c08,0,1
60078,973c22h01,4,1
60079,3626bpr0006,14,1
60079,3629,7,1
60079,970c31,2,1
60079,973c28h01pr1245,1,1
60080,3626bpr0004,14,1
60080,6093,0,1
60080,970c17,7,1
60080,973c28h01pr0002,1,1
60081,3626bpr0007,14,1
60081,4485,4,1
60081,970c03,0,1
60081,973c03h01pr0028,0,1
60083,3626bpr0006,14,1
60083,4485,1,1
60083,970c27,15,1
60083,973c27h01pr0168,15,1
60084,3626bpr0004,14,1
60084,4530,0,1
60084,970c27,15,1
60084,973c27h01pr0018,15,1
60085,3626bpr0001,14,1
60085,4485,4,1
60085,970c03,0,1
60085,973c31h03,2,1
60086,3626bpr0005,14,1
60086,3901,6,1
60086,970c27,15,1
60086,973c22h01,4,1
60087,3626bpr0007,14,1
60087,3901,19,1
60087,970c27,15,1
60087,973c22h01,4,1
60088,3626bpr0045,14,1
60088,3901,0,1
60088,970c27,15,1
60088,973c22h01,4,1
60089,3626bpr0001,14,1
60089,3901,6,1
60089,970c27,15,1
60089,973c22h01,4,1
60090,3626bpr0326,14,1
60090,3901,0,1
60090,970c27,15,1
60090,973c22h01,4,1
60091,3626bpr0001,14,1
60091,3901,19,1
60091,970c27,15,1
60091,973c31h01pr0366,2,1
60092,3626bpr0310,14,1
60092,3901,0,1
60092,970c27pr0020,15,1
60092,973c28h01pr0025,1,1
60103,2446,0,1
60103,30170,0,1
60103,3626bpr0070,14,1
60103,3840,15,1
60103,970c03,0,1
60103,973c08h27,8,1
60104,2446pr0032,4,1
60104,30170,0,1
60104,3626bpr0156,14,1
60104,3840,15,1
60104,970c03,0,1
60104,973c22h08,4,1
60105,3626bpr0110,14,1
60105,46303,0,1
60105,970c05,272,1
60105,973c32h01pr0276,73,1
60106,3626bpr0158,14,1
60106,46303,15,1
60106,970c26,19,1
60106,973c05h01pr0275,272,1
60107,2446pr0038,1,1
60107,30170,33,1
60107,3626bpr0158,14,1
60107,3840,15,1
60107,970c26,19,1
60107,973c28h22,1,1
60108,2446pr0032,4,1
60108,30170,0,1
60108,3626bpr0062,14,1
60108,3840,15,1
60108,970c08,8,1
60108,973c22h03,4,1
60109,3626cpr0677,14,1
60109,41879a,28,1
60109,86035,4,1
60109,973c31h01pr1479,15,1
60110,2446,4,1
60110,2447,40,1
60110,3626cpr0389,14,1
60110,970c31,4,1
60110,973c31h12pr0656,15,1
60111,3626cpr0893,14,1
60111,3834,320,1
60111,970c03pr0408,0,1
60111,973c03h01pr2189,0,1
60113,30133,4,1
60113,3626cpr1145,14,1
60113,41334,72,1
60113,970c03,0,1
60113,973c12h01pr2196,72,1
60114,3626cpr1147,14,1
60114,86035,0,1
60114,970c05pr0406,272,1
60114,973c32h01pr2190,73,1
60140,14769,1,1
60140,15208,19,1
60140,2412b,19,1
