inventoryId,partNumber,color,quantity
280012,11153,0,4
280012,11153,70,2
280012,11211,14,2
280012,11211,0,2
280012,11211,1,7
280012,11458,0,6
280012,11476,4,1
280012,11477,0,18
280012,11477,158,2
280012,11477,71,4
280012,11477,70,4
280012,13547,0,2
280012,14417,72,4
280012,14418,71,4
280012,14704,71,2
280012,14769,72,2
280012,14769,0,2
280012,15068,70,2
280012,15068,0,21
280012,15068,29,1
280012,15068pr0105,0,3
280012,15535,4,1
280012,15573,0,2
280012,15573,5,1
280012,15712,320,1
280012,1686,0,4
280012,18980,26,1
280012,18980,0,1
280012,22385,70,1
280012,22388,15,2
280012,22388,0,2
280012,22885,2,2
280012,22885,15,4
280012,22885,4,2
280012,22888,0,1
280012,22890,72,4
280012,2357,71,2
280012,23949,72,2
280012,2419,0,2
280012,2420,0,2
280012,2420,70,2
280012,2420,71,2
280012,2420,19,2
280012,2420,15,4
280012,24201,0,2
280012,24246,212,7
280012,24299,4,2
280012,24299,0,3
280012,24307,0,4
280012,24307,4,1
280012,2431,70,1
280012,2431,29,1
280012,2431,4,1
280012,2431,0,1
280012,25269,29,2
280012,25269,0,13
280012,25269,4,1
280012,26047,71,6
280012,26047,0,2
280012,26601,0,4
280012,26601,26,2
280012,26604,0,8
280012,26604,15,2
280012,27263,0,4
280012,27507,0,2
280012,27925,70,2
280012,28802,0,2
280012,29119,212,2
280012,29119,29,1
280012,29120,29,1
280012,29120,212,1
280012,3001,72,2
280012,3002,0,2
280012,3003,0,1
280012,3004,0,6
280012,3004,4,4
280012,3004,1,1
280012,3005,14,2
280012,3009,15,1
280012,30136,15,2
280012,3020,4,3
280012,3020,70,1
280012,3020,0,2
280012,3020,212,1
280012,3020,19,2
280012,3021,72,2
280012,3021,4,1
280012,3021,0,3
280012,3021,29,3
280012,3022,4,6
280012,3022,0,15
280012,3023,0,18
280012,3023,1,5
280012,3023,71,8
280012,3023,4,3
280012,3023,70,2
280012,3023,19,3
280012,3024,0,8
280012,3024,71,8
280012,3031,70,1
280012,3031,0,1
280012,3032,14,1
280012,3034,14,1
280012,3034,71,2
280012,30357,0,2
280012,3036,0,1
280012,30374,0,1
280012,30374,41,1
280012,3039,0,2
280012,30414,0,1
280012,3068b,5,2
280012,3068b,0,1
280012,3068bpr9311,4,1
280012,3069b,29,2
280012,3069b,70,2
280012,3069b,0,4
280012,3070b,0,2
280012,3070b,29,2
280012,3070b,70,4
280012,3172,4,2
280012,3176,72,2
280012,32028,0,3
280012,32803,0,2
280012,3298,0,2
280012,3386,1,6
280012,33909,0,2
280012,33909,5,1
280012,3460,71,2
280012,35480,0,18
280012,35480,71,7
280012,3573,0,2
280012,35787,0,3
280012,35787,4,1
280012,3623,70,4
280012,3623,0,10
280012,3666,0,4
280012,3679,71,1
280012,3680,29,1
280012,36841,72,2
280012,3705,4,1
280012,3709,1,2
280012,3710,2,6
280012,3710,0,6
280012,3738,10,1
280012,3795,0,2
280012,3795,4,1
280012,3795,2,3
280012,3937,0,5
280012,3941,19,1
280012,3941,0,1
280012,3941,71,2
280012,39789,0,1
280012,4032a,71,1
280012,4032a,1,2
280012,4081b,0,8
280012,41682,72,3
280012,41769,0,3
280012,41770,0,3
280012,42022,0,2
280012,42924,1,2
280012,4304,4,3
280012,4304,0,14
280012,43722,0,1
280012,43723,0,1
280012,44294,14,1
280012,44301b,0,4
280012,44728,0,4
280012,4477,0,1
280012,44861,0,4
280012,47759,0,2
280012,49307,0,4
280012,5091,308,3
280012,5092,308,3
280012,51739,0,3
280012,54200,70,2
280012,54200,0,12
280012,54672,71,4
280012,5520pr0003,0,2
280012,55706,0,2
280012,5717,0,1
280012,57360,0,2
280012,57697,0,2
280012,57909b,72,1
280012,5841,0,6
280012,5852,158,4
280012,5852,0,10
280012,5907,70,2
280012,5907,0,4
280012,59900,25,2
280012,59900,0,1
280012,59900,41,1
280012,60470b,0,3
280012,60478,0,2
280012,61252,71,4
280012,61332,0,1
280012,6134,0,5
280012,6141,4,10
280012,6141,1,2
280012,61485,0,1
280012,63082,71,2
280012,63864,0,6
280012,63868,0,4
280012,64799,72,1
280012,64799,70,1
280012,64847,0,16
280012,65426,4,1
280012,65429,0,1
280012,65509,0,1
280012,65617,0,4
280012,66956,29,2
280012,66956pr0002,212,1
280012,67329,15,4
280012,67361,0,1
280012,67696,72,1
280012,68568,0,2
280012,6958,41,1
280012,69729,5,1
280012,7126,0,6
280012,72132,0,2
280012,73562,19,1
280012,77180,0,2
280012,77182,0,2
280012,78329,0,2
280012,79389,71,2
280012,79389,0,2
280012,79491,0,4
280012,80015,0,2
280012,80177,0,1
280012,80178,0,1
280012,80796,72,1
280012,85861,70,3
280012,85861,0,8
280012,85861,41,1
280012,85984,0,11
280012,87079,0,3
280012,87079,29,1
280012,87081,0,1
280012,87087,19,8
280012,90258,72,1
280012,93273,70,4
280012,93604,0,2
280012,96874,25,1
280012,98138,15,12
280012,99207,0,6
280012,99563,179,3
280012,99780,70,3
280012,99781,0,4
280041,19729pr0097,378,1
280041,970c19,70,1
280041,973c25h10pr0001,288,1
280042,23766pr9999,92,1
280042,25767pr0009,4,1
280042,41879a,28,1
280043,19729pr0100,71,1
280043,19730,322,1
280043,970c12,72,1
280043,973c42h41pr0001,72,1
280045,19723,322,1
280045,19729pr0098,71,1
280045,6266,71,2
280045,78132,71,1
280045,93061,71,2
280046,19729pr0099,15,1
280046,970c05,272,1
280046,973c24h03pr0003,379,1
280048,19729pr0102,0,1
280048,19730,322,1
280048,970c75,1103,1
280048,973c09h03pr0003,85,1
280049,19729pr0103,308,1
280049,970c24,379,1
280049,973d58pr0001,212,1
280050,3626cpr2668,78,1
280050,41879a,72,1
280050,92746,484,1
280050,973c20h02pr0006,326,1
280051,28621pr9652,78,1
280051,37364c03,0,1
280051,62810,308,1
280051,973c03h02pr5682,0,1
280055,12592c03,0,1
280055,88765pr0005,4,1
280056,12592c06,0,1
280056,15449,0,1
280056,15450,71,1
280056,88764pr0003,484,1
280060,10052,15,1
280060,36036pr0086,320,1
280060,3626cpr3506,78,1
280060,36806,15,1
280060,973c10h02pr0010,320,1
280061,21268,71,1
280061,28621pr9650,15,1
280061,970c14pr0005,71,1
280061,973c14h27pr0006,71,1
280061,99251,72,1
280062,23186,15,1
280062,3626cpr3947,78,1
280062,93223,15,1
280062,970e14,72,1
280062,973c35h02pr0003,288,1
280065,23186,0,1
280065,28621pr9649,78,1
280065,970c26,19,1
280065,973c35h19pr0001,288,1
280066,28621pr4435,78,1
280066,970c03,0,1
280066,973c03h02pr5745,0,1
280066,98385,484,1
280067,3626cpr3640,1088,1
280067,41879a,0,1
280067,79688,0,1
280067,973c03h69pr0001,0,1
280068,28621pr4331,78,1
280068,41879a,0,1
280068,92746,28,1
280068,973c03h02pr5699,0,1
280069,16709pats12,0,1
280069,28621pr4370,1089,1
280069,65753,0,1
280069,87990,70,1
280069,973c03h70pr0003,0,1
280070,28621pr4272,78,1
280070,41879a,1,1
280070,62810,308,1
280070,973c28h02pr0003,1,1
280071,3626cpr9929,78,1
280071,37697,70,1
280071,41879a,28,1
280071,973c35h02pr0004,288,1
280072,3626cpr2667,78,1
280072,36762,0,1
280072,41879a,28,1
280072,973c22h02pr0004,4,1
280075,3626cpr2668,78,1
280075,41879a,308,1
280075,92746,484,1
280075,973c12h02pr0010,72,1
280085,2633,0,1
280085,36198c01pr0015,191,1
280085,92198pr0010,1089,1
