inventoryId,partNumber,color,quantity
270102,11203,15,10
270102,11203,72,2
270102,14769pr0008,0,2
270102,15573,15,10
270102,16968,15,1
270102,22885,0,1
270102,2412b,4,2
270102,3002,15,2
270102,3004,19,2
270102,3005,15,8
270102,3009,15,2
270102,3023,71,8
270102,3024,71,2
270102,3031,19,1
270102,3032,15,1
270102,30383,72,3
270102,3069b,15,13
270102,3666,15,2
270102,3666,71,2
270102,3700,71,1
270102,3710,15,2
270102,3710,0,1
270102,3713,4,1
270102,3795,15,2
270102,4865b,0,2
270102,54200,15,2
270102,54657,71,9
270102,59426,72,1
270102,60581,15,2
270102,73825,71,1
270102,85861,4,2
270102,92582,15,6
270103,11477,15,4
270103,22385,272,8
270103,25269,28,10
270103,26603,272,4
270103,26603,28,10
270103,26603,4,4
270103,3010,15,8
270103,3020,28,1
270103,3023,15,4
270103,3023,28,1
270103,3034,15,4
270103,3035,15,4
270103,30565,15,4
270103,3070b,272,4
270103,3070b,4,4
270103,3666,71,4
270103,3710,15,4
270103,41539,2,1
270103,4162,28,4
270103,4162,4,4
270103,4162,272,4
270103,44728,15,8
270103,48092,15,8
270103,6179,15,4
270103,69729,4,4
270103,73825,72,4
270103,79389,19,4
270103,80015,15,8
270103,87079,15,2
270103,88646,15,4
270103,99207,71,8
270235,64251,179,1
270235,64262,57,1
270235,87794,0,1
270235,87796,0,3
270235,87797,179,2
270235,87798,179,2
270235,87799,57,1
270235,87809,179,1
270235,87810,179,1
270235,87811,179,1
270235,89652,0,3
270391,15535,3,12
270391,24246,3,12
270391,24246,1,12
270391,25269,3,12
270391,25269,1,12
270391,27263,3,12
270391,27263,1,12
270391,27925,1,12
270391,27925,3,12
270391,3070b,3,12
270391,3070b,1,12
270391,3958,15,1
270391,39739,3,12
270391,98138,1,12
270391,98138,3,12
270408,23955,70,1
270408,28621pr4041,78,1
270408,36036pr0084,226,1
270408,973g02c44h44pr0002,14,1
270409,21269,15,1
270409,28621pr9699,78,1
270409,37364c35,288,1
270409,973c20h02pr0005,70,1
270411,11090,297,2
270411,14769pr9956,70,1
270411,15573,70,1
270411,20482,297,1
270411,24246,70,2
270411,4733,70,2
270411,54200,70,2
270411,6141,70,2
270411,78257,70,1
270411,98138,297,1
270413,3062bpr0023,15,1
270413,37775,182,3
270413,73117,297,1
270413,85861,15,2
270415,18277,84,1
270415,25878pr0003,84,1
270415,28621pr9700,1089,1
270415,970c03pat19,0,1
270415,973c28h27pr0004,1,1
270416,11476,4,2
270416,15573,297,1
270416,25269,4,4
270416,3021,320,1
270416,3023,297,1
270416,6141,70,4
270416,68212,191,2
270416,79194,297,2
270417,15573,71,3
270417,2412b,179,1
270417,3004,71,1
270417,3020,72,1
270417,3070b,71,2
270417,33492,71,1
270417,4070,25,2
270417,4871,72,1
270417,6141,71,2
270417,85984pr0051,71,1
270417,87552,71,1
270417,99563,297,2
270417,99780,72,1
270418,17630,0,1
270418,28621pr9698,78,1
270418,41879a,378,1
270418,973c19h02pr0003,70,1
270420,24866,15,1
270420,3062bpr0048,19,1
270420,3262,0,1
270420,4032a,15,1
270420,64644,19,1
270421,14769pr9957,15,1
270421,15573,15,1
270421,24299,10,1
270421,24307,10,1
270421,29119,15,1
270421,29120,15,1
270421,3020,19,2
270421,3022,72,1
270421,35480,15,1
270421,3839b,15,1
270421,39739,297,2
270421,48336,15,1
270421,49307,15,2
270421,5091,10,1
270421,5092,10,1
270421,6141,297,3
270421,79491,15,2
270421,90194,15,1
270421,99781,15,1
270422,28621pr4052,78,1
270422,4498,70,1
270422,95226,0,1
270422,970c22pat19pr0001,4,1
270422,973g22c23h38pr6671,4,1
270460,18674,0,12
270460,3021,0,16
270460,3034,0,20
270460,3035,72,10
270460,3069b,0,2
270460,3069b,4,16
270460,3069b,15,16
270460,3460,0,8
270460,3623,0,14
270460,3941,14,4
270460,4032a,2,12
270460,41539,72,7
270460,65138,0,12
270530,16709pat02,308,1
270530,2632,308,1
270530,28621pr9696,78,1
270530,973c19h02pr6185,70,1
270531,10048,308,1
270531,16709pat02,308,1
270531,28621pr9697,78,1
270531,973c11h02pr6493,28,1
270533,16709pat02,308,1
270533,21269,71,1
270533,28621pr9695,78,1
270533,973c10h02pr0008,320,1
270535,16709pat02,308,1
270535,28621pr4438,78,1
270535,3850,70,1
270535,7221,19,1
270535,973c27h02pr0007,326,1
270536,10048,84,1
270536,16709pat02,308,1
270536,3626cpr3208,78,1
270536,973c23h02pr0003,19,1
270537,10048,84,1
270537,16709pat02,308,1
270537,28621pr9692,78,1
270537,973c27h02pr0005,191,1
270538,10048,70,1
270538,16709pat02,308,1
270538,28621pr9693,78,1
270538,973c27h02pr0006,288,1
270539,16709pat02,272,1
270539,20595,84,1
270539,24782,272,1
270539,28621pr9922,78,1
270539,973c29h02pr0004,379,1
270541,10052,71,1
270541,101658,72,1
270541,28621pr9691,78,1
270541,36036pr0054,72,1
270541,36806,71,1
270541,973c12h02pr6476,72,1
270542,10048,308,1
270542,16709pat02,272,1
270542,28621pr9694,78,1
270542,973c27h02pr0004,320,1
270543,10048,484,1
270543,16709pat02,308,1
270543,3626cpr3654,78,1
270543,973c07h02pr0005,308,1
270582,2446,14,1
270582,2447,47,1
270582,28621pr4398,10,1
270582,970c09,85,1
270582,973c06h06pr6445,10,1
270583,35635,297,1
270583,3626cpr3586,30,1
270583,970c05,272,1
