setNumber,name,year,numParts,imageUrl,inventoryId
45604-1,Distance Sensor,2020,1,https://cdn.rebrickable.com/media/sets/45604-1.jpg,42982
45605-1,Color Sensor,2020,1,https://cdn.rebrickable.com/media/sets/45605-1.jpg,42979
45606-1,Force Sensor,2020,1,https://cdn.rebrickable.com/media/sets/45606-1.jpg,42984
45607-1,Small Angular Motor,2021,1,https://cdn.rebrickable.com/media/sets/45607-1.jpg,108764
45608-1,3×3 Color Light Matrix,2021,1,https://cdn.rebrickable.com/media/sets/45608-1.jpg,108763
45609-1,Small Hub,2021,2,https://cdn.rebrickable.com/media/sets/45609-1.jpg,108765
456-1,Spirit of St. Louis,1977,50,https://cdn.rebrickable.com/media/sets/456-1.jpg,4531
45610-1,Large Hub Battery,2020,1,https://cdn.rebrickable.com/media/sets/45610-1.jpg,42985
4561-1,Railway Express with Transformer and Speed Regulator,1999,671,https://cdn.rebrickable.com/media/sets/4561-1.jpg,8576
45611-1,Micro USB Connector Cable,2020,1,https://cdn.rebrickable.com/media/sets/45611-1.jpg,42986
45612-1,Small Hub Battery,2021,1,https://cdn.rebrickable.com/media/sets/45612-1.jpg,109223
456-2,"1 x 2 x 2 Window, Red or White",1966,15,https://cdn.rebrickable.com/media/sets/456-2.jpg,84753
45620-1,Science Kit Year 1-3,2025,278,https://cdn.rebrickable.com/media/sets/45620-1.jpg,257941
4562-1,Creator Box,2004,200,https://cdn.rebrickable.com/media/sets/4562-1.jpg,2107
45621-1,Science Kit Year 4-6,2025,336,https://cdn.rebrickable.com/media/sets/45621-1.jpg,257942
45622-1,Science Kit Year 7-9,2025,424,https://cdn.rebrickable.com/media/sets/45622-1.jpg,257943
45623-1,Multi-charger,2025,2,https://cdn.rebrickable.com/media/sets/45623-1.jpg,257944
45624-1,Multi-charger,2025,1,https://cdn.rebrickable.com/media/sets/45624-1.jpg,257945
4563-1,Load and Haul Railroad,1991,475,https://cdn.rebrickable.com/media/sets/4563-1.jpg,47401
4564-1,Freight Rail Runner,1994,594,https://cdn.rebrickable.com/media/sets/4564-1.jpg,2665
45650-1,Single Motor,2025,1,https://cdn.rebrickable.com/media/sets/45650-1.jpg,257946
4565-1,Freight and Crane Railway,1996,918,https://cdn.rebrickable.com/media/sets/4565-1.jpg,50796
45651-1,Double Motor,2025,1,https://cdn.rebrickable.com/media/sets/45651-1.jpg,257947
45652-1,Controller,2025,1,https://cdn.rebrickable.com/media/sets/45652-1.jpg,257948
45653-1,Color Sensor,2025,1,https://cdn.rebrickable.com/media/sets/45653-1.jpg,257949
45654-1,Replacement Pack for Elementary School,2025,350,https://cdn.rebrickable.com/media/sets/45654-1.jpg,257950
45655-1,Replacement Pack for Middle School,2025,381,https://cdn.rebrickable.com/media/sets/45655-1.jpg,257951
45656-1,AC Cable,2025,1,https://cdn.rebrickable.com/media/sets/45656-1.jpg,257952
45657-1,Connection Cards,2025,8,https://cdn.rebrickable.com/media/sets/45657-1.jpg,257953
4566-1,Gear,2001,8,https://cdn.rebrickable.com/media/sets/4566-1.jpg,6989
4567-1,Surfer,2001,8,https://cdn.rebrickable.com/media/sets/4567-1.jpg,5966
45678-1,SPIKE Prime,2020,532,https://cdn.rebrickable.com/media/sets/45678-1.jpg,109612
45680-1,SPIKE Prime Expansion Set,2020,603,https://cdn.rebrickable.com/media/sets/45680-1.jpg,107534
4568-1,Loopin,2001,8,https://cdn.rebrickable.com/media/sets/4568-1.jpg,12407
45681-1,SPIKE Prime Expansion Set (v2),2021,604,https://cdn.rebrickable.com/media/sets/45681-1.jpg,107280
4569-1,Warrior,2001,8,https://cdn.rebrickable.com/media/sets/4569-1.jpg,8373
4570-1,Shredd,2001,8,https://cdn.rebrickable.com/media/sets/4570-1.jpg,15361
4570178-1,Series 1 - Sealed Box,2010,0,https://cdn.rebrickable.com/media/sets/4570178-1.jpg,13603
457-1,"1 x 1 x 2 Window, Red or White",1966,19,https://cdn.rebrickable.com/media/sets/457-1.jpg,84754
4571-1,Spiky,2001,8,https://cdn.rebrickable.com/media/sets/4571-1.jpg,8676
4572-1,Scratch,2001,8,https://cdn.rebrickable.com/media/sets/4572-1.jpg,10328
4573-1,Lightor,2001,8,https://cdn.rebrickable.com/media/sets/4573-1.jpg,1937
