partNumber,name,category,sourceCategory,material
800,Brick Special 2 x 4 with Wheels Holder for Car Steering Gear Axle,special,Wheels and Tyres,Plastic
80015,Plate Round Corner 5 x 5 with 4 x 4 Round Cutout,plates,Plates Round Curved and Dishes,Plastic
80017,"Creature Body Part, Dragon Head Lower Jaw with Pointy Chin",special,Animal / Creature Body Parts,Plastic
80017pr0001,"Creature Body Part, Dragon Head Lower Jaw with Pointy Chin with Dark Brown Markings, Orange Eye print",special,Animal / Creature Body Parts,Plastic
80017pr0002,"Creature Body Part, Dragon Head Lower Jaw with Pointy Chin with Green Markings, Eye, Silver Line print",special,Animal / Creature Body Parts,Plastic
80017pr0003,"Creature Body Part, Dragon Head Lower Jaw with Pointy Chin with Dark Azure/Light Aqua Eye, Gold Scales print",special,Animal / Creature Body Parts,Plastic
80017pr0004,"Creature Body Part, Dragon Head Lower Jaw with Pointy Chin with Yellow Eye, Lime/Green Scales print",special,Animal / Creature Body Parts,Plastic
80029,Tower Roof 2 x 4 x 4 Half Cone Shaped with Roof Tiles and Window,bricks,Bricks Round and Cones,Plastic
8003,"Plate Rounded Half, Oval 6 x 8 with Cutout",plates,Plates Round Curved and Dishes,Plastic
80031,Plate 10 x 10 with Rounded End,plates,Plates Round Curved and Dishes,Plastic
80032,Sticker Sheet for Set 75319-1,special,Stickers,Plastic
80039,Road Sign Round with Left Turn Prohibited Print,special,"Flags, Banners and Signs",Plastic
80045,Road Sign Round with No Parking Print,special,"Flags, Banners and Signs",Plastic
80045a,Road Sign Round with No Parking Pattern (Diagonal Upward to Right),special,"Flags, Banners and Signs",Plastic
8004pr0001,"Helmet with Side Pods, Red/Coral Droid Eyes, Mouth (Ultron)",minifigures,Minifig Headwear,Plastic
8005,Slope 45° 6 x 4 Double with 4 x 4 Cutout,slopes,Bricks Sloped,Plastic
8006,"Hair, Long Tails Over Shoulders",minifigures,Minifig Headwear,Plastic
8008,Plate Round Corner 5 x 5 with 2 x 2 Cutout,plates,Plates Round Curved and Dishes,Plastic
80095,Sticker Sheet for Set 41700-1,special,Stickers,Plastic
80096,Sticker Sheet for Set 41701-1,special,Stickers,Plastic
80097,Sticker Sheet for Set 41702-1,special,Stickers,Plastic
8009pr0001,"Windscreen 10 x 2 x 4 1/3 U Shape with Red Stripes, Black Triangle print",bricks,Windscreens and Fuselage,Plastic
