partNumber,name,category,sourceCategory,material
90001,"Animal Body Part, Octopus Legs",special,Animal / Creature Body Parts,Plastic
90005,"Neckwear Cape, Pauldron, Tattered",minifigures,Minifig Neckwear,Cloth
900093,"CD-ROM, Education Mindstorms NXT Software 1.1 Upgrade",technic,Gear Parts,Plastic
90051,Sticker Sheet for Set 10216-1,special,Stickers,Plastic
900581,"Storage Bin, Dacta, Small [New Style]",technic,Gear Parts,Plastic
90064,Sticker Sheet for Set 7148-1,special,Stickers,Plastic
90065,Sticker Sheet for Set 7156-1,special,Stickers,Plastic
90066,Sticker Sheet for Set 7157-1,special,Stickers,Plastic
90067,Sticker Sheet for Set 7160-1,special,Stickers,Plastic
90109,Tipper Bed 12 x 8 x 5 with Studs on Front Top only,special,Transportation - Land,Plastic
90187c01,"Animal, Bear 'Lotso' Body [Plain]",minifigures,Minifigs,Plastic
90187c01pr0001,"Animal, Bear 'Lotso' Body",minifigures,Minifigs,Plastic
90187c01pr0002,"Animal, Bear 'Lotso' Body with Dirt Print",minifigures,Minifigs,Plastic
90190,"Arm, Bigfig, Left, Bear (Lotso)",minifigures,Minifig Upper Body,Plastic
90191pr0001,"Minifig Head Special, Insectaloid Warrior (Twitch)",minifigures,Minifig Heads,Plastic
90192,"Insect Body Part, Antenna",special,Animal / Creature Body Parts,Plastic
90193,Minifig Neckwear Wings Insectaloid Warrior (Twitch),minifigures,Minifig Neckwear,Plastic
90194,Wedge Plate 3 x 4 with Stud Notches [Reinforced Underside],plates,Plates Angled,Plastic
90195,Window 1 x 2 x 2 Castle,bricks,Windows and Doors,Plastic
901956,"Sorting Tray, DOTS, Lid",technic,Gear Parts,Plastic
901957,"Sorting Tray, DOTS, 7 Compartment",technic,Gear Parts,Plastic
90199,"Arm, Bigfig, Rock Monster (Chunk)",minifigures,Minifig Upper Body,Plastic
90200c01,"Orange Body Rock Monster, Toy Story Chunk",minifigures,Minifigs,Plastic
90201,"Train Cow Catcher, Plate Special 2 x 6 with Sloped Bars",special,Transportation - Land,Plastic
90202,Technic Pin Connector Round with 4 Clips,technic,Technic Connectors,Plastic
90203,"Arm, Right, Bear (Lotso)",minifigures,Minifig Upper Body,Plastic
902097,"Storage / Sorting Tray, SPIKE Prime, Upper Tray - 4 Cups [For New Style Storage Bins]",technic,Gear Parts,Plastic
902221,"Sorting Tray, DOTS, 9 Compartment",technic,Gear Parts,Plastic
902222,"Sorting Tray, DOTS, Lid",technic,Gear Parts,Plastic
90254,"Creature Body Part, Wampa Arm Right",special,Animal / Creature Body Parts,Plastic
90255,"Creature Body Part, Wampa Arm Left",special,Animal / Creature Body Parts,Plastic
90258,Brick Special 2 x 2 with Grooves and Axle Hole,bricks,Bricks Special,Plastic
90265,Duplo Door / Window with Four Equal Square Cornered Panes,bricks,"Duplo, Quatro and Primo",Plastic
90322,Minifig Head Special with Jagged Bottom Edge [Plain],minifigures,Minifig Heads,Plastic
90322pr0001,Minifig Head Special with Jagged Bottom Edge and Eyes Print (Brick Daddy),minifigures,Minifig Heads,Plastic
90344,Sticker Sheet for Set 8076-1,special,Stickers,Plastic
90346,Sticker Sheet for Set 8089-1,special,Stickers,Plastic
90347,Sticker Sheet for Set 8093-1,special,Stickers,Plastic
90350,Sticker Sheet for Set 8095-1,special,Stickers,Plastic
90351,Sticker Sheet for Set 8096-1,special,Stickers,Plastic
90352,Sticker Sheet for Set 8098-1,special,Stickers,Plastic
90370,Musical Instrument Microphone [Plain],minifigures,Minifig Accessories,Plastic
90370pr0001,Musical Instrument Microphone with Metallic Silver Top Print,minifigures,Minifig Accessories,Plastic
90370pr0002,Musical Instrument Microphone with Metallic Gold Top Print,minifigures,Minifig Accessories,Plastic
