partNumber,name,category,sourceCategory,material
600,Door 1 x 6 x 6 Freestyle,bricks,Windows and Doors,Plastic
6000,"Molding Machine Mold for a Plate 1 x 1, Top Section",special,Other,Plastic
6000stk01,"Sticker Sheet 1 for Idea Book 6000, Legoland",special,Stickers,Plastic
6000stk02,Sticker Sheet 2 for Idea Book 6000,special,Stickers,Plastic
6002,Panel 6 x 6 x 9 Corner Convex with Curved Top,bricks,Panels,Plastic
6003,Plate Round Corner 6 x 6,plates,Plates Round Curved and Dishes,Plastic
60031,Sticker Sheet for Set 7994-1,special,Stickers,Plastic
60032,"Window 1 x 2 x 2 Plane, Hollow Studs, Single Hole Top and Bottom for Glass",bricks,Windows and Doors,Plastic
6003555,"Poster, Star Wars 2012 Advent Calendar",technic,Gear Parts,Plastic
6004,"Molding Machine Mold for a Plate 1 x 1, Bottom Section",special,Other,Plastic
6004121,"Comic Book, Super Heroes, DC Universe, Issue 1 (6004121 / 6005844)",technic,Gear Parts,Cardboard/Paper
6004466,"Comic Book, Super Heroes, DC Universe, Issue 3",technic,Gear Parts,Plastic
6004468,"Comic Book, Super Heroes, DC Universe, Issue 4 (6004468 / 6005847)",technic,Gear Parts,Cardboard/Paper
6004472,"Comic Book, Super Heroes, DC Universe, Issue 5 (6004472 / 6005848)",technic,Gear Parts,Cardboard/Paper
6005,Brick Arch 1 x 3 x 2 Curved Top,bricks,Bricks Curved,Plastic
60055,Sticker Sheet for Set 8107-1,special,Stickers,Plastic
6007,Brick Separator v1.0,special,Tools,Plastic
6007959,"Trading Card, Ninjago Deck #2: *4 - Hypnobrai Rattle (Golden Card)",technic,Gear Parts,Cardboard/Paper
6007970,"Trading Card, Ninjago Deck #2: *1 - Fangpyre Leap (Golden Card)",technic,Gear Parts,Cardboard/Paper
60093,Sticker Sheet for Set 8108-1,special,Stickers,Plastic
601,Window 1 x 3 x 4 Pane for Window 2 x 6 x 6 Freestyle,bricks,Windows and Doors,Plastic
6010859,"Trading Card, Ninjago Deck #2: 22 - Rattla - North American Version (3D Lenticular Card)",technic,Gear Parts,Cardboard/Paper
6011237,Game Cards - Phineas and Ferb,technic,Gear Parts,Cardboard/Paper
60115,Torso - Skeleton Thick Shoulder Pins,minifigures,Minifig Upper Body,Plastic
60116,Sticker Sheet for Set 7094-1,special,Stickers,Plastic
6011773,"Comic Book, Super Heroes, Issue 2",technic,Gear Parts,Plastic
60128,"Vehicle Track, Train, Plastic (RC Trains) Double Crossover Rail - Half",special,Transportation - Land,Plastic
6013273,"Comic Book, Super Heroes, Marvel, Issue 1",technic,Gear Parts,Plastic
6013279,"Comic Book, Super Heroes, Marvel, Issue 2 (6013279 / 6013282)",technic,Gear Parts,Cardboard/Paper
6013287,"Comic Book, Super Heroes, Marvel, Issue 3 (6013287 / 6013288)",technic,Gear Parts,Cardboard/Paper
6013291,"Comic Book, Super Heroes, Marvel, Issue 4 (6013291 / 6013293)",technic,Gear Parts,Cardboard/Paper
6013294,"Comic Book, Super Heroes, Marvel, Issue 5",technic,Gear Parts,Plastic
60141,Sticker Sheet for Set 2064-1,special,Stickers,Plastic
6014174,"Trading Card, Ninjago Deck #2: *3 - Constrictai Grasp (Golden Card)",technic,Gear Parts,Cardboard/Paper
6014a,Wheel 11 x 12 with Hole Round for Wheels Holder Pin,special,Wheels and Tyres,Plastic
6014b,Wheel 11 x 12 with Hole Notched for Wheels Holder Pin,special,Wheels and Tyres,Plastic
6015,Tyre 21 x 12 with Offset Tread Small Wide,special,Wheels and Tyres,Rubber
6016,Bar 1 x 4 x 3 Window [Side Tabs],special,"Bars, Ladders and Fences",Plastic
60167,Sticker Sheet for Set 5378-1,special,Stickers,Plastic
60169,Chain 16L [21 Links],special,"String, Bands and Reels",Plastic
6017,Mini Ghost / Bell-Shaped Flower,special,Plants & Trees,Plastic
60176,"Technic Axle Connector 2 x 3 with Ball Socket, Closed Sides, Squared Ends",technic,Technic Connectors,Plastic
6017pr0001,"Creature, Mini Ghost / Bell-Shaped Flower with Black Eyes print (Z-Blob)",special,Animals / Creatures,Plastic
6018,"Weapon Gun / Pistol Two Barrel, 8 Ribs",minifigures,"Minifig Shields, Weapons, & Tools",Plastic
60184,Sticker Sheet for Set 7699-1,special,Stickers,Plastic
60189,Braille Brick 2 x 4 with 1 Stud ⠁,bricks,Bricks Special,Plastic
60189pr0001,Braille Brick 2 x 4 with 1 Stud ⠁and 'A 1' Print,bricks,Bricks Special,Plastic
60189pr0002,Braille Brick 2 x 4 with 1 Stud ⠁and 'A' Print,bricks,Bricks Special,Plastic
6019,Plate Special 1 x 1 with Clip Horizontal [Thick U Clip],plates,Plates Special,Plastic
60190,Braille Brick 2 x 4 with 2 Studs ⠃,bricks,Bricks Special,Plastic
60190pr0001,Braille Brick 2 x 4 with 2 Studs ⠃ and 'B 2' Print,bricks,Bricks Special,Plastic
60190pr0002,Braille Brick 2 x 4 with 2 Studs ⠃ and 'B' Print,bricks,Bricks Special,Plastic
60191,Braille Brick 2 x 4 with 2 Studs ⠉,bricks,Bricks Special,Plastic
60191pr0001,Braille Brick 2 x 4 with 2 Studs ⠉ and 'C 3' Print,bricks,Bricks Special,Plastic
60191pr0002,Braille Brick 2 x 4 with 2 Studs ⠉ and 'C' Print,bricks,Bricks Special,Plastic
60192,Braille Brick 2 x 4 with 3 Studs ⠙,bricks,Bricks Special,Plastic
60192pr0001,Braille Brick 2 x 4 with 3 Studs ⠙ 'D 4' Print,bricks,Bricks Special,Plastic
60192pr0002,Braille Brick 2 x 4 with 3 Studs ⠙ and 'D' Print,bricks,Bricks Special,Plastic
601pr0001,HO Scale Morris 1100,special,HO Scale,Plastic
6020,Bar 7 x 3 with Double Clips (Ladder) [Straight Clips],special,"Bars, Ladders and Fences",Plastic
60207,Braille Brick 2 x 4 with 2 Studs ⠑,bricks,Bricks Special,Plastic
60207pr0001,Braille Brick 2 x 4 with 2 Studs ⠑ and 'E 5' Print,bricks,Bricks Special,Plastic
60207pr0002,Braille Brick 2 x 4 with 2 Studs ⠑ and 'E' Print,bricks,Bricks Special,Plastic
60208,"Wheel 31 x 15 Technic, 7 Pin Holes",special,Wheels and Tyres,Plastic
6020982,"Trading Card, Legends of Chima Deck #1: 1 [Laval]",technic,Gear Parts,Cardboard/Paper
6020983,"Trading Card, Legends of Chima Deck #1: 7 [Defendor XII]",technic,Gear Parts,Cardboard/Paper
6020984,"Trading Card, Legends of Chima Deck #1: 13 [Valious]",technic,Gear Parts,Cardboard/Paper
6020985,"Trading Card, Legends of Chima Deck #1: 19 [Jahak]",technic,Gear Parts,Cardboard/Paper
6020986,"Trading Card, Legends of Chima Deck #1: 25 [Tratratrax]",technic,Gear Parts,Cardboard/Paper
6021,Boat / Canoe,special,Transportation - Sea and Air,Plastic
60212,"Wheel Arch, Mudguard 2 x 4 Studded with Hole",special,Transportation - Land,Plastic
6021359,"Trading Card, Legends of Chima Deck #1: 2 [Lagravis]",technic,Gear Parts,Cardboard/Paper
6021367,"Trading Card, Legends of Chima Deck #1: 8 [Honorous]",technic,Gear Parts,Cardboard/Paper
6021369,"Trading Card, Legends of Chima Deck #1: 14 [Kuttor]",technic,Gear Parts,Cardboard/Paper
6021371,"Trading Card, Legends of Chima Deck #1: 20 [Defendor II]",technic,Gear Parts,Cardboard/Paper
6021373,"Trading Card, Legends of Chima Deck #1: 26 [Fangjabber]",technic,Gear Parts,Cardboard/Paper
6021374,"Trading Card, Legends of Chima Deck #1: 3 [Lennox]",technic,Gear Parts,Cardboard/Paper
6021375,"Trading Card, Legends of Chima Deck #1: 9 [Defendor VI]",technic,Gear Parts,Cardboard/Paper
6021376,"Trading Card, Legends of Chima Deck #1: 15 [Fangius]",technic,Gear Parts,Cardboard/Paper
6021377,"Trading Card, Legends of Chima Deck #1: 21 [Stafa]",technic,Gear Parts,Cardboard/Paper
6021378,"Trading Card, Legends of Chima Deck #1: 27 [Seraat]",technic,Gear Parts,Cardboard/Paper
