partNumber,name,category,sourceCategory,material
40273pr0004,"Duplo Figure, Early, Pith Helmet Tan, Brown Legs, Tan Top, Blue Arms, Facial Stubble Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
40279c01,Light and Sound Brick 4 x 2 x 4 Siren with Trans-Neon Orange Top,technic,Electronics,Plastic
40279c02,Light and Sound Brick 4 x 2 x 4 Siren with Trans-Purple Top,technic,Electronics,Plastic
40315board,Game Board for Set 40315-1,technic,Gear Parts,Cardboard/Paper
40327,"Sticker Sheet for Sets 6772-1, 6773-1",special,Stickers,Plastic
40328,Sticker Sheet for Set 6774-1,special,Stickers,Plastic
40329,Sticker Sheet for Set 6775-1,special,Stickers,Plastic
4032a,Plate Round 2 x 2 with Axle Hole Type 1 (+ Opening),plates,Plates Round Curved and Dishes,Plastic
4032b,Plate Round 2 x 2 with Axle Hole Type 2 (X Opening),plates,Plates Round Curved and Dishes,Plastic
4033,Window 1 x 4 x 3 Train with All Studs Hollow,bricks,Windows and Doors,Plastic
40330,Sticker Sheet for Set 6776-1,special,Stickers,Plastic
40339,"Large Figure Weapon Trident, with Long Axle",special,Large Buildable Figures,Plastic
4034,Glass for Train Window 1 x 4 x 3,bricks,Windows and Doors,Plastic
40340,"Large Figure Weapon Spear, Drill with Axle and Hole",special,Large Buildable Figures,Plastic
40341,"Large Figure Weapon Staff, Long Axle Circular Saw with Hole",special,Large Buildable Figures,Plastic
40342,"Large Figure Weapon Staff, Long Axle, Flame 1 x 12",special,Large Buildable Figures,Plastic
40344c01,"Technic Brick 4 x 6 with 2 x 4 Opening, 2 Fixed Rotatable Friction Pins on End",technic,Technic Bricks,Plastic
40348c01,"Duplo Toolo, Pullback Motor 3 x 4 with Yellow Wheels",bricks,"Duplo, Quatro and Primo",Plastic
4035,Window 1 x 2 x 3 Train,bricks,Windows and Doors,Plastic
40355,"Sticker Sheet 2 for Sets 4708-1, 4709-1",special,Stickers,Plastic
4036,Glass for Train Window 1 x 2 x 3,bricks,Windows and Doors,Plastic
40362pr0001,Roof for Hagrid's Hut Print,special,Non-System Parts,Plastic
40373,"Animal / Creature Body Part, Dinosaur Body Quarter with Pin Holes",special,Animal / Creature Body Parts,Plastic
40373pr0001,"Animal Body Part, Dinosaur Body Quarter with Pin Holes, Dark Gray, Sand Green, Medium Orange, and Dark Green Streaks Print",special,Animal / Creature Body Parts,Plastic
40373pr0002,"Animal Body Part, Dinosaur Body Quarter with Pin Holes, Dark Gray Streaked/Sand Blue/Black Streaked/Red Spotted Print",special,Animal / Creature Body Parts,Plastic
40373pr0003,"Animal Body Part, Dinosaur Body Quarter with Pin Holes, Dark Gray/Sand Blue/Dark Blue/Red Print",special,Animal / Creature Body Parts,Plastic
40373pr0004,"Animal Body Part, Dinosaur Body Quarter with Pin Holes, Dark Gray, Sand Green, Medium Orange, and Dark Green Spotted Print",special,Animal / Creature Body Parts,Plastic
40373pr0005,"Animal Body Part, Dinosaur Body Quarter with Pin Holes, Dark Gray Scales on Dark Red and Gray Print",special,Animal / Creature Body Parts,Plastic
40374,"Animal / Creature Body Part, Dinosaur Body Quarter with Pins [Plain]",special,Animal / Creature Body Parts,Plastic
40374pr0001,"Animal Body Part, Dinosaur Body Quarter with Pin Holes, Dark Gray, Sand Green, Medium Orange, and Dark Green Streaks Print",special,Animal / Creature Body Parts,Plastic
40374pr0002,"Animal Body Part, Dinosaur Body Quarter with Pin Holes, Dark Gray Streaked/Sand Blue/Black Streaked/Red Spotted Print",special,Animal / Creature Body Parts,Plastic
40374pr0003,"Animal Body Part, Dinosaur Body Quarter with Pin Holes, Dark Gray/Sand Blue/Dark Blue/Red Print",special,Animal / Creature Body Parts,Plastic
40374pr0004,"Animal Body Part, Dinosaur Body Quarter with Pin Holes, Dark Gray, Sand Green, Medium Orange, and Dark Green Spotted Print",special,Animal / Creature Body Parts,Plastic
40374pr0005,"Animal Body Part, Dinosaur Body Quarter with Pin Holes, Dark Gray Scales on Dark Red and Gray Print",special,Animal / Creature Body Parts,Plastic
40375,"Animal / Creature Body Part, Dinosaur Neck / Tail Ring",special,Animal / Creature Body Parts,Plastic
40378,"Animal Body Part / Plant, Tail / Neck / Branch / Trunk, Middle Section with Pin, Round Pin Hole",special,Animal / Creature Body Parts,Plastic
40378pr0001,"Plant / Tree, Trunk Middle Section with Pin with Bark Print",special,Plants & Trees,Plastic
40379,"Animal Body Part / Plant, Tail / Claw / Horn / Branch / Tentacle, End Section",special,Animal / Creature Body Parts,Plastic
40380c01,"Animal / Creature Body Part, Dinosaur, Legs Short",special,Animal / Creature Body Parts,Plastic
40380c01pr0001,"Animal Body Part, Dinosaur, Legs Short, Dark Gray and Dark Green Stripes Print",special,Animal / Creature Body Parts,Plastic
40380c01pr0003,"Animal Body Part, Dinosaur, Legs Short, Dark Gray, Red, Blue Print",special,Animal / Creature Body Parts,Plastic
40380c01pr0004,"Animal Body Part, Dinosaur, Legs Short, Dark Gray, Dark Green Print",special,Animal / Creature Body Parts,Plastic
40382c01,"Animal Body Part, Dinosaur, Legs Long [Plain]",special,Animal / Creature Body Parts,Plastic
40382c01pr0001,"Animal Body Part, Dinosaur, Legs Long, Dark Gray, Medium Orange, and Dark Green Grassy Print",special,Animal / Creature Body Parts,Plastic
40382c01pr0002,"Animal Body Part, Dinosaur, Legs Long, Dark Gray and Red Print",special,Animal / Creature Body Parts,Plastic
40382c01pr0004,"Animal Body Part, Dinosaur, Legs Long, Dark Gray, Dark Green, Medium Orange Print",special,Animal / Creature Body Parts,Plastic
40382c01pr0005,"Animal Body Part, Dinosaur, Legs Long, Dark Red, White Scales and 'JPIII' Print",special,Animal / Creature Body Parts,Plastic
40384,"Animal Body Part, Dinosaur, Head, Small",special,Animal / Creature Body Parts,Plastic
40385,"Animal Body Part, Dinosaur, Back Sail 8 x 2 x 5",special,Animal / Creature Body Parts,Plastic
