partNumber,name,category,sourceCategory,material
200,Technic Rack Winder Axle,technic,Technic Gears,Plastic
2000045,"Software, EV3 (Single License)",technic,Gear Parts,Plastic
2000080,"CD-ROM, Mindstorms NXT Software 2.1 (Single License)",technic,Gear Parts,Plastic
2000094,WeDo Site License Agreement,technic,Gear Parts,Cardboard/Paper
2000095,"CD-ROM, WeDo Software v1.0",technic,Gear Parts,Metal
2000097,"CD-Rom/DVD-Rom, WeDo Software v1.2 and Activity Pack",technic,Gear Parts,Plastic
20028,Sticker Sheet for Set 75095-1,special,Stickers,Plastic
2003,Hair Short Long Curls / Mop Top,minifigures,Minifig Headwear,Plastic
20033,Boat 20 x 40 x 7 with Deck [Complete Assembly],special,Transportation - Sea and Air,Plastic
20037,Sticker Sheet for Set 70220-1,special,Stickers,Plastic
2003pr0001,Hair Short Long Curls / Mop Top with Lime Splotch print,minifigures,Minifig Headwear,Plastic
2003pr0002,Hair Short Long Curls / Mop Top with Magenta Splotch print,minifigures,Minifig Headwear,Plastic
2003pr0003,Hair Short Long Curls / Mop Top with Red/Lime Splotch print,minifigures,Minifig Headwear,Plastic
2003pr0004,Hair Short Long Curls / Mop Top with Dark Tan Splotch Print,minifigures,Minifig Headwear,Plastic
2003pr0005,Hair Short Long Curls / Mop Top with Thick Lime Splotch print,minifigures,Minifig Headwear,Plastic
20043,Sticker Sheet for Set 70788-1,special,Stickers,Plastic
20046pr0001,Duplo Animal Rabbit with Head Raised and Pink Nose Print,bricks,"Duplo, Quatro and Primo",Plastic
20046pr0002,Duplo Animal Rabbit with Head Raised and Brown Nose Print,bricks,"Duplo, Quatro and Primo",Plastic
20046pr0003,Duplo Animal Rabbit with Head Raised and Black Nose Print,bricks,"Duplo, Quatro and Primo",Plastic
2005544,"Software, EV3 Design Engineering Projects",technic,Gear Parts,Plastic
2006pat0001,"Headwear Hood with Side Studs, Trans-Dark Pink Flames Pattern",minifigures,Minifig Headwear,Plastic
2007,Minifig Neckwear Scarf with Hand/Claws,minifigures,Minifig Neckwear,Plastic
20074,Sticker Sheet for Set 41091-1,special,Stickers,Plastic
2008,Hair Mid-Length Swept Back with Ruffled Back,minifigures,Minifig Headwear,Plastic
2009580,"CD-ROM, WeDo Activity Pack",technic,Gear Parts,Plastic
2009585,"CD-ROM, WeDo 8+ Projects Curriculum Pack",technic,Gear Parts,Plastic
2009594,"CD-ROM, Activity Pack for Green City Challenge Set",technic,Gear Parts,Plastic
2009641,"CD-ROM, Activity Pack for Pneumatics Add-on Set",technic,Gear Parts,Plastic
2009656,"CD-Rom, Lego Education Activity Pack for Early Simple Machines",technic,Gear Parts,Plastic
2009686,"CD-ROM, Introducing Simple & Powered Machines",technic,Gear Parts,Plastic
2009687,"CD-ROM, Advancing with Simple & Powered Machines",technic,Gear Parts,Plastic
2009688,"CD-ROM, Activity Pack for Renewable Energy Add-on Set",technic,Gear Parts,Plastic
2009689,"CD-ROM, Activity Pack for Simple Machine Sets",technic,Gear Parts,Plastic
2010,Hat Brimmed,minifigures,Minifig Headwear,Plastic
20105,"Launcher, Weapon Crossbow Shooter",special,Projectiles / Launchers,Plastic
2012,Minifig Neckwear Breathing Apparatus (Cad Bane),minifigures,Minifig Neckwear,Plastic
20133,Sticker Sheet for Set 70222-1,special,Stickers,Plastic
