partNumber,name,category,sourceCategory,material
5000,"Duplo Brick, Hair, 2 x 2 Top Studs, Rounded",bricks,"Duplo, Quatro and Primo",Plastic
5000036,"Trading Card, Ninjago Deck #2: 5 - Kendo Jay (3D Lenticular Card)",technic,Gear Parts,Cardboard/Paper
5000688,"Poster, Friends, Heartlake City Map, 5 Set Images on Back",technic,Gear Parts,Cardboard/Paper
50006995,"Projectile, Disk, 4 Holes",special,Projectiles / Launchers,Plastic
50006996,"Projectile, Disk, Triangular Holes",special,Projectiles / Launchers,Plastic
50006997,"Projectile, Disk, 4 Holes, 2 Large Holes, 2 Small Holes",special,Projectiles / Launchers,Plastic
5001335,"Book, Friends, Sticker Book",technic,Gear Parts,Plastic
5001335stk,Sticker Sheet for Set 6043173-1,special,Stickers,Plastic
50015,"Bicycle Frame, Clip for Handle Bars",special,Transportation - Land,Plastic
50018,Tool Kit [Complete Set],minifigures,"Minifig Shields, Weapons, & Tools",Plastic
50018a,Tool Saw / Circular Saw Right,minifigures,"Minifig Shields, Weapons, & Tools",Plastic
50018b,Tool Cup / Half Ball,minifigures,"Minifig Shields, Weapons, & Tools",Plastic
50018c,Tool Socket Wrench,minifigures,"Minifig Shields, Weapons, & Tools",Plastic
50018d,"Tool Connector 2 Bar 90 deg, Stud on Both Sides",minifigures,"Minifig Shields, Weapons, & Tools",Plastic
50018e,"Tool Connector 3 Bar, 120 deg, Stud on Both Sides",minifigures,"Minifig Shields, Weapons, & Tools",Plastic
50018f,"Tool Crank Shaft with Bar, Stud",minifigures,"Minifig Shields, Weapons, & Tools",Plastic
50018g,Weapon Gun / Ray Gun,minifigures,"Minifig Shields, Weapons, & Tools",Plastic
50018h,Tool Saw / Circular Saw Left,minifigures,"Minifig Shields, Weapons, & Tools",Plastic
5002136,Sticker Sheet for Set 5002136-1,special,Stickers,Plastic
5002145,Sticker Sheet for Set 5002145-1,special,Stickers,Plastic
5002941,Sticker Sheet for Set 5002941-1,special,Stickers,Plastic
5002941comic,"Comic Book, Bionicle",technic,Gear Parts,Plastic
5002941poster,"Poster, Bionicle, Map of Okoto / Bionicle Masks - Double-Sided",technic,Gear Parts,Plastic
5003413,"CD-Rom, Education Mindstorms NXT Software 2.1 License",technic,Gear Parts,Plastic
5004388a,Sticker Sheet 1 for Set 5004388-1,special,Stickers,Plastic
5004388b,Sticker Sheet 2 for Set 5004388-1,special,Stickers,Plastic
5004394cdb01,Backdrop for set 5004394-1 - Double Sided,special,Non-System Parts,Cardboard/Paper
5004394cdb02,"Punch-outs, for Set 5004394-1",special,Non-System Parts,Cardboard/Paper
5004930,Sticker Sheet for Set 5004930-1,special,Stickers,Plastic
5004932book,Passport Picture Book,technic,Gear Parts,Plastic
5004932card,"Punch-outs, Bookmarks, Bubble Props with Seagull / Three 'Z's, and Light Bulb / Spilled Pail Print",technic,Gear Parts,Cardboard/Paper
5004932suitcase,"Storage Case, Suitcase Carrying Box",technic,Gear Parts,Plastic
5005238,Sticker Sheet for Set 5005238-1,special,Stickers,Plastic
5005239,Sticker Sheet for Set 5005239-1,special,Stickers,Plastic
5005239cdb01,Backdrop for Set 5005239,special,Non-System Parts,Cardboard/Paper
50100pr0001,"Creature, Buckbeak with Dark Bluish Grey Beak, Bright Light Orange Eyes, Dark Bluish Grey/White Feathers print",special,Animals / Creatures,Plastic
50100pr0002,"Creature, Buckbeak with Dark Bluish Grey Beak, Bright Light Orange Eyes, Dark Bluish Grey/Light Bluish Grey Feathers print",special,Animals / Creatures,Plastic
50108pr0001,"Creature Body Part, Dragon Head Upper Jaw with Black Scales and Yellow Eyes Print",special,Animal / Creature Body Parts,Plastic
50108pr0002,"Creature Body Part, Dragon Head Upper Jaw with Dark Red Scales and Yellow Eyes Print",special,Animal / Creature Body Parts,Plastic
50108pr0003,"Creature Body Part, Dragon Head Upper Jaw with Large Black Scales and Yellow Eyes Print",special,Animal / Creature Body Parts,Plastic
5011,"Motor, 9V 4 x 10 x 3",technic,Electronics,Plastic
50112,Sticker Sheet for Set 75243-1,special,Stickers,Plastic
50113,Sticker Sheet for Set 75242-1,special,Stickers,Plastic
50114,Sticker Sheet for Set 75244-1,special,Stickers,Plastic
50115,Sticker Sheet for Set 75262-1,special,Stickers,Plastic
50116,Sticker Sheet for Set 75259-1,special,Stickers,Plastic
50117,Sticker Sheet for Set 75261-1,special,Stickers,Plastic
50125,Bald Head with Hole in Top and Long Pointed Ears [Plain],minifigures,Minifig Headwear,Plastic
50163,"Technic Turntable Large Type 2, 24/56 Tooth with Black Outside Gear Section [Complete Assembly]",technic,Technic Gears,Plastic
50188,Sticker Sheet for Set 4743-1,special,Stickers,Plastic
5018pr0001,"Minifig Head Special, Cube Pig with Pixelated Nose, Eyes print",minifigures,Minifig Heads,Plastic
5019,"Musical Instrument, Lute, Blocky",minifigures,Minifig Accessories,Plastic
50190,Sticker Sheet for Set 4744-1,special,Stickers,Plastic
50191,Sticker Sheet for Set 4745-1,special,Stickers,Plastic
50192,Sticker Sheet for Set 4746-1,special,Stickers,Plastic
50193,Sticker Sheet for Set 4748-1,special,Stickers,Plastic
501a,"Motor, Train Base, 12V Modern Type I with 2 round contact holes",technic,Electronics,Plastic
501b,"Motor, Train Base, 12V Unslotted with 3-Hole Plugs",technic,Electronics,Plastic
