partNumber,name,category,sourceCategory,material
cardupn0001pr0047,"Trading Card, Harry Potter, Sticker - Molly Weasley (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0048,"Trading Card, Harry Potter, Sticker - Hogwarts Students (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0049,"Trading Card, Harry Potter, Sticker - Hermione Granger and Ron Weasley (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0050,"Trading Card, Harry Potter, Sticker - Ron Weasley",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0051,"Trading Card, Harry Potter, Sticker - Lily Potter, James Potter and Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0052,"Trading Card, Harry Potter, Sticker - Albus Dumbledore",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0053,"Trading Card, Harry Potter, Sticker - Hermione Granger, Ron Weasley and Harry Potter (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0054,"Trading Card, Harry Potter, Sticker - Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0055,"Trading Card, Harry Potter, Sticker - Neville Longbottom",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0056,"Trading Card, Harry Potter, Sticker - Hermione Granger",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0057,"Trading Card, Harry Potter, Sticker - Fluffy and Rubeus Hagrid",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0058,"Trading Card, Harry Potter, Sticker - Hermione Granger",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0059,"Trading Card, Harry Potter, Sticker - Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0060,"Trading Card, Harry Potter, Sticker - Ron Weasley",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0061,"Trading Card, Harry Potter, Sticker - Harry Potter (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0062,"Trading Card, Harry Potter, Sticker - Ron Weasley",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0063,"Trading Card, Harry Potter, Sticker - Albus Dumbledore (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0064,"Trading Card, Harry Potter, Sticker - Professor Quirinus Quirrell",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0065,"Trading Card, Harry Potter, Sticker - Professor Quirinus Quirrell (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0066,"Trading Card, Harry Potter, Sticker - Harry Potter (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0067,"Trading Card, Harry Potter, Sticker - Ron Weasley and Chocolate Frog",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0068,"Trading Card, Harry Potter, Sticker - Seamus Finnigan",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0069,"Trading Card, Harry Potter, Sticker - Dean Thomas",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0070,"Trading Card, Harry Potter, Sticker - Neville Longbottom and The Book of Monsters",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0071,"Trading Card, Harry Potter, Sticker - Hermione Granger (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0072,"Trading Card, Harry Potter, Sticker - Mandrake and Draco Malfoy (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0073,"Trading Card, Harry Potter, Sticker - George Weasley / Fred Weasley",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0074,"Trading Card, Harry Potter, Sticker - George Weasley / Fred Weasley",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0075,"Trading Card, Harry Potter, Sticker - Ginny Weasley and Tom Riddle's Diary",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0076,"Trading Card, Harry Potter, Sticker - Albus Dumbledore and Fawkes (Shiny)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0077,"Trading Card, Harry Potter, Sticker - Professor Minerva McGonagall",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0078,"Trading Card, Harry Potter, Sticker - Professor Severus Snape",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0079,"Trading Card, Harry Potter, Sticker - Professor Filius Flitwick",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0080,"Trading Card, Harry Potter, Sticker - Professor Pomona Sprout and Mandrake (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0081,"Trading Card, Harry Potter, Sticker - Professor Quirinus Quirrell",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0082,"Trading Card, Harry Potter, Sticker - Professor Gilderoy Lockhart",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0083,"Trading Card, Harry Potter, Sticker - Remus Lupin",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0084,"Trading Card, Harry Potter, Sticker - Madame Hooch",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0085,"Trading Card, Harry Potter, Sticker - Professor Sinistra",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0086,"Trading Card, Harry Potter, Sticker - Rubeus Hagrid (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0087,"Trading Card, Harry Potter, Sticker - Dobby",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0088,"Trading Card, Harry Potter, Sticker - Professor Dolores Umbridge and Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0089,"Trading Card, Harry Potter, Sticker - Ron Weasley and Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0090,"Trading Card, Harry Potter, Sticker - Molly Weasley",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0091,"Trading Card, Harry Potter, Sticker - Arthur Weasley",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0092,"Trading Card, Harry Potter, Sticker - Hedwig (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0093,"Trading Card, Harry Potter, Sticker - Ron Weasley",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0094,"Trading Card, Harry Potter, Sticker - Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0095,"Trading Card, Harry Potter, Sticker - Ron Weasley, Harry Potter and Whomping Willow (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0096,"Trading Card, Harry Potter, Sticker - Whomping Willow",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0097,"Trading Card, Harry Potter, Sticker - Scabbers (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0098,"Trading Card, Harry Potter, Sticker - Harry Potter and Professor Gilderoy Lockhart",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0099,"Trading Card, Harry Potter, Sticker - Nearly Headless Nick",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0100,"Trading Card, Harry Potter, Sticker - Pixies and Ron Weasley",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0101,"Trading Card, Harry Potter, Sticker - Argus Filch, Mrs Norris and Pixies",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0102,"Trading Card, Harry Potter, Sticker - Hogwarts Students and Pixies",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0103,"Trading Card, Harry Potter, Sticker - Professor Gilderoy Lockhart (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0104,"Trading Card, Harry Potter, Sticker - Professor Severus Snape, Hogwarts Students and Pixies",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0105,"Trading Card, Harry Potter, Sticker - Pixies and Hogwarts Student",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0106,"Trading Card, Harry Potter, Sticker - Pixies and Neville Longbottom",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0107,"Trading Card, Harry Potter, Sticker - Pixies and Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0108,"Trading Card, Harry Potter, Sticker - Pixie (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0109,"Trading Card, Harry Potter, Sticker - Pixies and Professor Gilderoy Lockhart",technic,Gear Parts,Cardboard/Paper
