partNumber,color,imageUrl
40001,72,https://cdn.rebrickable.com/media/parts/elements/4210710.jpg
40066,15,https://cdn.rebrickable.com/media/parts/elements/6249033.jpg
4009pr0002,484,https://cdn.rebrickable.com/media/parts/photos/450/4009pr0002-450-5bfae661-c70a-4f78-93d7-4c296c2e669a.jpg
40066,379,https://cdn.rebrickable.com/media/parts/elements/6570751.jpg
40066,226,https://cdn.rebrickable.com/media/parts/elements/6249064.jpg
40066,158,https://cdn.rebrickable.com/media/parts/elements/6249066.jpg
40066,19,https://cdn.rebrickable.com/media/parts/elements/6273864.jpg
40002c09,47,https://cdn.rebrickable.com/media/parts/elements/6569366.jpg
40066,70,https://cdn.rebrickable.com/media/parts/elements/6330233.jpg
40002c24,47,https://cdn.rebrickable.com/media/parts/elements/4143325.jpg
40066,322,https://cdn.rebrickable.com/media/parts/elements/6383300.jpg
40066,3,https://cdn.rebrickable.com/media/parts/elements/6250111.jpg
40002c10,47,https://cdn.rebrickable.com/media/parts/elements/6454803.jpg
40066,31,https://cdn.rebrickable.com/media/parts/elements/6343761.jpg
40066,323,https://cdn.rebrickable.com/media/parts/elements/6450963.jpg
4006,72,https://cdn.rebrickable.com/media/parts/elements/6306622.jpg
4009pr0002,450,https://cdn.rebrickable.com/media/parts/photos/450/4009pr0002-450-5bfae661-c70a-4f78-93d7-4c296c2e669a.jpg
4006,179,https://cdn.rebrickable.com/media/parts/elements/6167576.jpg
4000,8,https://cdn.rebrickable.com/media/parts/elements/4153796.jpg
4000,14,https://cdn.rebrickable.com/media/parts/ldraw/14/4000.png
40066,26,https://cdn.rebrickable.com/media/parts/elements/6591781.jpg
4009pr0002,7,https://cdn.rebrickable.com/media/parts/photos/450/4009pr0002-450-5bfae661-c70a-4f78-93d7-4c296c2e669a.jpg
40066,30,https://cdn.rebrickable.com/media/parts/elements/6249065.jpg
40066,4,https://cdn.rebrickable.com/media/parts/elements/6423005.jpg
40066,29,https://cdn.rebrickable.com/media/parts/elements/6249953.jpg
40002c20,47,https://cdn.rebrickable.com/media/parts/elements/4284052.jpg
4009pr0002,15,https://cdn.rebrickable.com/media/parts/photos/450/4009pr0002-450-5bfae661-c70a-4f78-93d7-4c296c2e669a.jpg
40002c12,47,https://cdn.rebrickable.com/media/parts/photos/47/40002c12-47-e5568dfa-4caa-4d93-ac29-37b0ccabfc59.jpg
4006,7,https://cdn.rebrickable.com/media/parts/ldraw/7/4006.png
4006,0,https://cdn.rebrickable.com/media/parts/elements/400626.jpg
40002c25,47,https://cdn.rebrickable.com/media/parts/photos/47/x400c25-47-86503480-c4a8-4644-8473-e9cc0af7c3f2.jpg
40002c28,47,https://cdn.rebrickable.com/media/parts/elements/6496831.jpg
4009pr0001,7,https://cdn.rebrickable.com/media/parts/photos/7/4009pr0001-7-e7a56ab8-9cbf-48a0-8aa1-cbefc20cd353.jpg
40066,378,https://cdn.rebrickable.com/media/parts/elements/6603877.jpg
4009pr0001,450,https://cdn.rebrickable.com/media/parts/photos/450/4009pr0001-450-f8c57f16-530d-4376-bcec-c2adb5f330d5.jpg
40066,212,https://cdn.rebrickable.com/media/parts/elements/6600269.jpg
4006,71,https://cdn.rebrickable.com/media/parts/elements/4652821.jpg
40001,8,https://cdn.rebrickable.com/media/parts/elements/4143464.jpg
40066,14,https://cdn.rebrickable.com/media/parts/elements/6550196.jpg
40066,71,https://cdn.rebrickable.com/media/parts/elements/6332620.jpg
40144,72,https://cdn.rebrickable.com/media/parts/elements/6252372.jpg
4011pr0002,92,https://cdn.rebrickable.com/media/parts/photos/92/4011pr0002-92-50e7e7d9-dec4-4d00-abda-baa73a5e1637.jpg
4019,71,https://cdn.rebrickable.com/media/parts/elements/4211563.jpg
4019,3,https://cdn.rebrickable.com/media/parts/ldraw/3/4019.png
4010pr0001,1064,https://cdn.rebrickable.com/media/parts/photos/1064/4010pr0001-1064-ae160f7c-7d0d-4998-ab94-35a2893bdd06.jpg
4011pr0001,92,https://cdn.rebrickable.com/media/parts/photos/92/4011pr0001-92-32344986-1094-4cb5-8907-ccc3de42831e.jpg
