partNumber,color,imageUrl
3,15,https://cdn.rebrickable.com/media/parts/ldraw/15/3.png
3,14,https://cdn.rebrickable.com/media/parts/ldraw/14/3.png
3,4,https://cdn.rebrickable.com/media/parts/ldraw/4/3.png
3,1,https://cdn.rebrickable.com/media/parts/ldraw/1/3.png
3009b,47,https://cdn.rebrickable.com/media/parts/photos/47/3009b-47-259d3ce7-f432-4936-83d6-138387cc653d.jpg
30035,1,https://cdn.rebrickable.com/media/parts/elements/4112238.jpg
3002d,15,https://cdn.rebrickable.com/media/parts/ldraw/15/u8003b.png
3008apr0058,15,https://cdn.rebrickable.com/media/parts/ldraw/15/3008.png
3003apr0052,14,https://cdn.rebrickable.com/media/parts/ldraw/14/3003pe1.png
30029,4,https://cdn.rebrickable.com/media/parts/elements/3002921.jpg
3004pr0008,15,https://cdn.rebrickable.com/media/parts/elements/4621327.jpg
3004pr0031,15,https://cdn.rebrickable.com/media/parts/elements/4293963.jpg
3004pr9985,7,https://cdn.rebrickable.com/media/parts/ldraw/7/3004p01.png
3009apr0092,15,https://cdn.rebrickable.com/media/parts/elements/300901.jpg
3002,30,https://cdn.rebrickable.com/media/parts/ldraw/30/3002.png
3009pr0081,15,https://cdn.rebrickable.com/media/parts/ldraw/15/3067ap02.png
30091b,72,https://cdn.rebrickable.com/media/parts/elements/4210793.jpg
3008b,0,https://cdn.rebrickable.com/media/parts/ldraw/0/3008.png
3001pr0036,4,https://cdn.rebrickable.com/media/parts/elements/300121.jpg
3001d,47,https://cdn.rebrickable.com/media/parts/photos/47/3001d-47-2bf5709e-e220-4cc6-9387-dfea649607c3.jpg
3004pr0103,4,https://cdn.rebrickable.com/media/parts/elements/6522846.jpg
3008pr0001,15,https://cdn.rebrickable.com/media/parts/photos/15/PART-5788-15-4d5510a2-277d-4850-9d28-277492221f69.jpg
3002b,4,https://cdn.rebrickable.com/media/parts/photos/4/3002b-4-1a441869-fe59-4fc8-869c-343d9f71ae68.jpg
3008pr0060,15,https://cdn.rebrickable.com/media/parts/ldraw/15/925p0b.png
3006,6,https://cdn.rebrickable.com/media/parts/elements/4251559.jpg
3003pr0119,15,https://cdn.rebrickable.com/media/parts/elements/6251509.jpg
3001,68,https://cdn.rebrickable.com/media/parts/ldraw/68/3001.png
3001pr0012,14,https://cdn.rebrickable.com/media/parts/ldraw/14/3001p0b.png
3008pr0052,15,https://cdn.rebrickable.com/media/parts/elements/300801.jpg
30022,0,https://cdn.rebrickable.com/media/parts/elements/6395157.jpg
30078,26,https://cdn.rebrickable.com/media/parts/ldraw/26/30078.png
3002c01,0,https://cdn.rebrickable.com/media/parts/photos/14/upn0415-14-c430c2b8-c7a2-4e96-b305-9d2f6a763bd9.jpg
3008pr0076,272,https://cdn.rebrickable.com/media/parts/elements/6465404.jpg
3003,4,https://cdn.rebrickable.com/media/parts/elements/300321.jpg
30046,15,https://cdn.rebrickable.com/media/parts/elements/3004601.jpg
3009,484,https://cdn.rebrickable.com/media/parts/elements/4164447.jpg
3001pr9981,0,https://cdn.rebrickable.com/media/parts/photos/0/3001pr9981-0-96ff62ed-cccb-4cdc-89f8-7e366ad5df64.jpg
3001,1091,https://cdn.rebrickable.com/media/parts/elements/300121.jpg
3004,379,https://cdn.rebrickable.com/media/parts/elements/4153374.jpg
3009,70,https://cdn.rebrickable.com/media/parts/elements/4211193.jpg
3001pr0006,14,https://cdn.rebrickable.com/media/parts/ldraw/14/3001p05.png
